"iso_o","iso_d","contig","dist","distcap"
"ABW","ABW",0,5.225315,5.225315
"ABW","AFG",0,13257.81,13257.81
"ABW","AGO",0,9516.913,9516.913
"ABW","AIA",0,983.2682,983.2682
"ABW","ALB",0,9091.742,9091.742
"ABW","AND",0,7572.788,7572.788
"ABW","ANT",0,136.3848,136.3848
"ABW","ARE",0,12735.01,12735.01
"ABW","ARG",0,5396.22,5396.22
"ABW","ARM",0,11107.78,11107.78
"ABW","ATG",0,1024.995,1024.995
"ABW","AUS",0,15237.5,15354.32
"ABW","AUT",0,8719.13,8719.13
"ABW","AZE",0,11503,11503
"ABW","BDI",0,11120.47,11120.47
"ABW","BEL",0,7847.07,7847.07
"ABW","BEN",0,7979.945,8006.697
"ABW","BFA",0,7414.016,7414.016
"ABW","BGD",0,15473.46,15473.46
"ABW","BGR",0,9348.039,9348.039
"ABW","BHR",0,12308.36,12308.36
"ABW","BHS",0,1588.515,1588.515
"ABW","BIH",0,8936.664,8936.664
"ABW","BLR",0,9382.626,9382.626
"ABW","BLZ",0,2076.216,2076.216
"ABW","BMU",0,2263.787,2263.787
"ABW","BOL",0,3240.231,3560.684
"ABW","BRA",0,4759.608,3988.915
"ABW","BRB",0,1139.24,1139.24
"ABW","BRN",0,18008.87,18008.87
"ABW","BTN",0,15070.87,15070.87
"ABW","BWA",0,11196.28,11196.28
"ABW","CAF",0,9771.96,9771.96
"ABW","CAN",0,3573.887,3696.783
"ABW","CCK",0,18614.29,18614.29
"ABW","CHE",0,8056.332,8056.332
"ABW","CHL",0,5125.68,5125.68
"ABW","CHN",0,14155.35,14155.35
"ABW","CIV",0,7293.883,7124.627
"ABW","CMR",0,9014.291,9014.291
"ABW","COG",0,9613.901,9613.901
"ABW","COK",0,10484.67,10484.67
"ABW","COL",0,1036.634,1036.634
"ABW","COM",0,12802.65,12802.65
"ABW","CPV",0,5036.386,5036.386
"ABW","CRI",0,1550.772,1550.772
"ABW","CUB",0,1754.738,1754.738
"ABW","CXR",0,19519.52,19519.52
"ABW","CYM",0,1421.378,1421.378
"ABW","CYP",0,10403.22,10403.22
"ABW","CZE",0,8560.899,8560.899
"ABW","DEU",0,8034.389,8474.606
"ABW","DJI",0,12186.87,12186.87
"ABW","DMA",0,989.9883,989.9883
"ABW","DNK",0,8408.59,8408.59
"ABW","DOM",0,663.0993,663.0993
"ABW","DZA",0,7686.407,7686.407
"ABW","ECU",0,1698.399,1698.399
"ABW","EGY",0,10383.61,10383.61
"ABW","ERI",0,11620.09,11620.09
"ABW","ESH",0,6124.013,6124.013
"ABW","ESP",0,7121.524,7121.524
"ABW","EST",0,9088.512,9088.512
"ABW","ETH",0,11817.33,11817.33
"ABW","FIN",0,9087.563,9087.563
"ABW","FJI",0,12692.41,12692.41
"ABW","FLK",0,7248.144,7248.144
"ABW","FRA",0,7685.884,7685.884
"ABW","FRO",0,7410.507,7410.507
"ABW","FSM",0,14263.71,14263.71
"ABW","GAB",0,8868.927,8868.927
"ABW","GBR",0,7541.243,7541.243
"ABW","GEO",0,11056.94,11056.94
"ABW","GHA",0,7697.944,7697.944
"ABW","GIB",0,6937.016,6937.016
"ABW","GIN",0,5940.813,5940.813
"ABW","GLP",0,980.5495,980.5495
"ABW","GMB",0,5785.502,5785.502
"ABW","GNB",0,5912.736,5912.736
"ABW","GNQ",0,8721.603,8721.603
"ABW","GRC",0,9491.157,9491.157
"ABW","GRD",0,911.348,911.348
"ABW","GRL",0,5921.006,5921.006
"ABW","GTM",0,2220.068,2220.068
"ABW","GUF",0,2128.791,2128.791
"ABW","GUY",0,1458.406,1458.406
"ABW","HKG",0,16131.13,16131.13
"ABW","HND",0,1863.05,1863.05
"ABW","HRV",0,8716.868,8716.868
"ABW","HTI",0,709.3878,709.3878
"ABW","HUN",0,8927.636,8927.636
"ABW","IDN",0,19240.39,19240.39
"ABW","IND",0,14258.17,14258.17
"ABW","IRL",0,7174.017,7174.017
"ABW","IRN",0,11880.18,11880.18
"ABW","IRQ",0,11426.34,11426.34
"ABW","ISL",0,6827.22,6827.22
"ABW","ISR",0,10635.04,10635.04
"ABW","ITA",0,8480.133,8480.133
"ABW","JAM",0,938.3511,938.3511
"ABW","JOR",0,10744.01,10744.01
"ABW","JPN",0,13815.84,13815.84
"ABW","KAZ",0,12977.21,12028.06
"ABW","KEN",0,11887.17,11887.17
"ABW","KGZ",0,12891.46,12891.46
"ABW","KHM",0,17292,17292
"ABW","KIR",0,12879.52,12879.52
"ABW","KNA",0,952.6719,952.6719
"ABW","KOR",0,14183.6,14183.6
"ABW","KWT",0,11922.28,11922.28
"ABW","LAO",0,16543.05,16543.05
"ABW","LBN",0,10635.64,10635.64
"ABW","LBR",0,6538.721,6538.721
"ABW","LBY",0,8638.483,8638.483
"ABW","LCA",0,1000.846,1000.846
"ABW","LKA",0,16067.56,16067.56
"ABW","LSO",0,11423.01,11423.01
"ABW","LTU",0,9223.909,9223.909
"ABW","LUX",0,7967.711,7967.711
"ABW","LVA",0,9100.948,9100.948
"ABW","MAC",0,16137.89,16137.89
"ABW","MAR",0,6782.739,6782.739
"ABW","MDA",0,9662.548,9662.548
"ABW","MDG",0,13342.62,13342.62
"ABW","MDV",0,15595.96,15595.96
"ABW","MEX",0,3197.777,3197.777
"ABW","MHL",0,12908.49,12908.49
"ABW","MKD",0,9214.088,9214.088
"ABW","MLI",0,6729.114,6729.114
"ABW","MLT",0,8723.98,8723.98
"ABW","MMR",0,16436.57,16436.57
"ABW","MNG",0,13299.1,13299.1
"ABW","MNP",0,15020.25,15020.25
"ABW","MOZ",0,11878.69,11878.69
"ABW","MRT",0,5824.114,5824.114
"ABW","MSR",0,966.2597,966.2597
"ABW","MTQ",0,1001.726,1001.726
"ABW","MUS",0,14395.81,14395.81
"ABW","MWI",0,11828.46,11828.46
"ABW","MYS",0,18066.89,18066.89
"ABW","NAM",0,10267.96,10267.96
"ABW","NCL",0,13964.53,13964.53
"ABW","NER",0,7796.389,7796.389
"ABW","NFK",0,13783.12,13783.12
"ABW","NGA",0,8081.917,8425.322
"ABW","NIC",0,1761.929,1761.929
"ABW","NIU",0,11484.71,11484.71
"ABW","NLD",0,7896.896,7896.896
"ABW","NOR",0,8301.125,8301.125
"ABW","NPL",0,14828.1,14828.1
"ABW","NRU",0,13604.61,13604.61
"ABW","NZL",0,12981.52,12981.52
"ABW","OMN",0,13155.52,13155.52
"ABW","PAK",0,13581.61,13581.61
"ABW","PAL",0,10625.24,10625.24
"ABW","PAN",0,1102.975,1102.975
"ABW","PCN",0,7735.013,7735.013
"ABW","PER",0,2848.861,2848.861
"ABW","PHL",0,16773.43,16773.43
"ABW","PLW",0,16527.85,16527.85
"ABW","PNG",0,15957.22,15957.22
"ABW","POL",0,8990.023,8990.023
"ABW","PRI",0,781.5696,781.5696
"ABW","PRK",0,14063.87,14063.87
"ABW","PRT",0,6637.424,6637.424
"ABW","PRY",0,4418.076,4418.076
"ABW","PYF",0,9348.107,9348.107
"ABW","QAT",0,12436.23,12436.23
"ABW","REU",0,14183.83,14183.83
"ABW","ROM",0,9528.119,9528.119
"ABW","RUS",0,9942.475,9942.475
"ABW","RWA",0,11168.01,11168.01
"ABW","SAU",0,12028.87,12028.87
"ABW","SDN",0,10960.46,10960.46
"ABW","SEN",0,5688.13,5688.13
"ABW","SGP",0,18355.38,18355.38
"ABW","SHN",0,7763.898,7763.898
"ABW","SLB",0,14562.64,14562.64
"ABW","SLE",0,6222.756,6222.756
"ABW","SLV",0,2070.009,2070.009
"ABW","SMR",0,8461.912,8461.912
"ABW","SOM",0,12721.27,12721.27
"ABW","SPM",0,4015.755,4015.755
"ABW","STP",0,8580.347,8580.347
"ABW","SUR",0,1793.713,1793.713
"ABW","SVK",0,8778.741,8778.741
"ABW","SVN",0,8601.009,8601.009
"ABW","SWE",0,8715.387,8715.387
"ABW","SWZ",0,11739.21,11739.21
"ABW","SYC",0,13989.59,13989.59
"ABW","SYR",0,10720.53,10720.53
"ABW","TCA",0,998.4774,998.4774
"ABW","TCD",0,9201.158,9201.158
"ABW","TGO",0,7858.3,7858.3
"ABW","THA",0,16930.21,16930.21
"ABW","TJK",0,12917.73,12917.73
"ABW","TKL",0,11515.18,11515.18
"ABW","TKM",0,12265.52,12265.52
"ABW","TMP",0,18262.52,18262.52
"ABW","TON",0,12067.62,12067.62
"ABW","TTO",0,959.7569,959.7569
"ABW","TUN",0,8328.585,8328.585
"ABW","TUR",0,9845.79,10197.24
"ABW","TUV",0,12456.92,12456.92
"ABW","TWN",0,15659.13,15659.13
"ABW","TZA",0,12282.36,11881.49
"ABW","UGA",0,11386.03,11386.03
"ABW","UKR",0,9678.449,9678.449
"ABW","URY",0,5483.935,5483.935
"ABW","USA",0,3161.668,3007.269
"ABW","UZB",0,12732.29,12732.29
"ABW","VCT",0,964.7043,964.7043
"ABW","VEN",0,408.8065,408.8065
"ABW","VGB",0,881.2882,881.2882
"ABW","VNM",0,16271.96,16271.96
"ABW","VUT",0,13756.36,13756.36
"ABW","WLF",0,12049.83,12049.83
"ABW","WSM",0,13348.89,13348.89
"ABW","YEM",0,12161.9,12161.9
"ABW","YUG",0,9082.858,9082.858
"ABW","ZAF",0,10662.36,11441.71
"ABW","ZAR",0,9622.77,9622.77
"ABW","ZMB",0,11267.38,11267.38
"ABW","ZWE",0,11603.47,11603.47
"AFG","ABW",0,13257.81,13257.81
"AFG","AFG",0,303.7614,303.7614
"AFG","AGO",0,7607.8,7607.8
"AFG","AIA",0,12292.16,12292.16
"AFG","ALB",0,4342.117,4342.117
"AFG","AND",0,5806.359,5806.359
"AFG","ANT",0,13218.26,13218.26
"AFG","ARE",0,1813.615,1813.615
"AFG","ARG",0,15298.5,15298.5
"AFG","ARM",0,2266.15,2266.15
"AFG","ATG",0,12297.09,12297.09
"AFG","AUS",0,11433.49,11365.44
"AFG","AUT",0,4568.098,4568.098
"AFG","AZE",0,1822.217,1822.217
"AFG","BDI",0,5930.057,5930.057
"AFG","BEL",0,5416.121,5416.121
"AFG","BEN",0,7481.006,7450.474
"AFG","BFA",0,7497.595,7497.595
"AFG","BGD",0,2376.978,2376.978
"AFG","BGR",0,4043.005,4043.005
"AFG","BHR",0,2004.434,2004.434
"AFG","BHS",0,12518.58,12518.58
"AFG","BIH",0,4428.614,4428.614
"AFG","BLR",0,3880.9,3880.9
"AFG","BLZ",0,13822.82,13822.82
"AFG","BMU",0,11177.66,11177.66
"AFG","BOL",0,15349.95,15240.55
"AFG","BRA",0,13771.76,13470.08
"AFG","BRB",0,12465.55,12465.55
"AFG","BRN",0,5741.141,5741.141
"AFG","BTN",0,2103.501,2103.501
"AFG","BWA",0,8023.767,8023.767
"AFG","CAF",0,6188.315,6188.315
"AFG","CAN",0,10768.89,10461.27
"AFG","CCK",0,5992.465,5992.465
"AFG","CHE",0,5247.043,5247.043
"AFG","CHL",0,16353.9,16353.9
"AFG","CHN",1,4180.438,4180.438
"AFG","CIV",0,8144.624,8165.951
"AFG","CMR",0,6842.123,6842.123
"AFG","COG",0,7100.583,7100.583
"AFG","COK",0,15044.61,15044.61
"AFG","COL",0,14288.69,14288.69
"AFG","COM",0,5824.411,5824.411
"AFG","CPV",0,9324.58,9324.58
"AFG","CRI",0,14334.57,14334.57
"AFG","CUB",0,12952.4,12952.4
"AFG","CXR",0,6312.074,6312.074
"AFG","CYM",0,13283.3,13283.3
"AFG","CYP",0,3257.972,3257.972
"AFG","CZE",0,4708.024,4708.024
"AFG","DEU",0,5226.514,4783.57
"AFG","DJI",0,3668.116,3668.116
