"country","iso3","area","dis_int","lat","lon","landlocked"
"Aruba","ABW",193,5.225315,12.55,-70.1,0
"Afghanistan","AFG",652225,303.7614,34.51667,69.2,1
"Angola","AGO",1246700,419.9666,-8.833333,13.25,0
"Anguilla","AIA",102,3.79869,18.21667,-63.06667,0
"Albania","ALB",28748,63.77311,41.33333,19.81667,0
"Andorra","AND",453,8.005398,42.5,1.5,0
"Netherland Antilles","ANT",960,11.65385,12.1,-68.93333,0
"United Arab Emirates","ARE",83657,108.789,24.46667,54.41667,0
"Argentina","ARG",2766889,625.6475,-34.66667,-58.5,0
"Armenia","ARM",29800,64.92948,40.18333,44.5,1
"French Southern Antartic territories","ATF",7829,33.28028,-66.66666,-140,0
"Antigua and Barbuda","ATG",442,7.907605,17.13333,-61.83333,0
"Australia","AUS",7686848,1042.817,-33.88334,151.1667,0
"Australia","AUS",7686848,1042.817,-35.3,149.133,0
"Austria","AUT",83858,108.9196,48.21667,16.36667,1
"Azerbaijan","AZE",86600,110.686,40.36666,49.88334,1
"Burundi","BDI",27834,62.75114,-3.366667,29.31667,1
"Belgium and Luxembourg","BEL",33114,68.44467,50.83333,4.35,0
"Benin","BEN",112622,126.225,6.4,2.517,0
"Benin","BEN",112622,126.225,6.5,2.783333,0
"Burkina Faso","BFA",274200,196.9552,12.33333,-1.666667,1
"Bangladesh","BGD",143998,142.7289,23.7,90.36667,0
"Bulgaria","BGR",110994,125.3094,42.66667,23.3,0
"Bahrain","BHR",678,9.793742,26.2,50.63334,0
"Bahamas","BHS",13939,44.40681,25.08333,-77.33334,0
"Bosnia and Herzegovina","BIH",51233,85.13511,43.86666,18.43333,0
"Belarus","BLR",207595,171.3729,53.85,27.5,0
"Belize","BLZ",22963,56.99649,17.21667,-88.8,0
"Bermuda","BMU",53,2.738241,32.3,-64.8,0
"Bolivia","BOL",1098581,394.2302,-16.5,-68.16666,1
"Bolivia","BOL",1098581,394.2302,-19.083,-65.25,1
"Brazil","BRA",8511920,1097.356,-23.53,-46.63,0
"Brazil","BRA",8511920,1097.356,-15.78,-47.91,0
"Barbados","BRB",431,7.808587,13.1,-59.61666,0
"Brunei Darussalam","BRN",5765,28.55837,4.933333,114.9667,0
"Bhutan","BTN",46620,81.21195,27.53333,89.75,1
"Botswana","BWA",600372,291.4366,-24.75,25.91667,1
"Central African Republic","CAF",622984,296.8741,4.383333,18.61667,1
"Canada","CAN",9976139,1187.996,43.65,-79.38,0
"Canada","CAN",9976139,1187.996,45.42,-75.71,0
"Cocos (Keeling) Islands","CCK",14,1.407336,-12.5,96.83334,0
"Switzerland","CHE",41288,76.42681,46.95,7.433333,1
"Chile","CHL",756945,327.2397,-33.5,-70.66666,0
"China","CHN",9572378,1163.707,39.91667,116.4333,0
"Côte d'Ivoire","CIV",322463,213.5865,6.82,-5.28,0
"Côte d'Ivoire","CIV",322463,213.5865,5.316667,-4.016667,0
"Cameroon","CMR",475442,259.3478,3.85,11.51667,0
"Congo","COG",342000,219.9616,-4.233333,15.23333,0
"Cook Islands","COK",240,5.826925,-21.2,-159.7667,0
"Colombia","COL",1141748,401.9008,4.633333,-75.06667,0
"Comoros","COM",1862,16.23019,-11.66667,43.26667,0
