ISO,Year,ck,lperP,ckperP,lperP_dummy1,lperP_dummy2,ckperP_dummy1,ckperP_dummy2,latitude,wto,pr,tas,kgatrstr,kgatemp
ABW,2002,18796.28906,0.001894837,0.197866088,0,0,1,1,12.5,0,43.9226475,28.31669167,NA,NA
ABW,2003,19876.47266,0.001855383,0.204880407,0,0,1,1,12.5,0,61.99766,28.28035833,NA,NA
ABW,2004,21405.63672,0.001822932,0.216783504,0,0,1,1,12.5,0,105.6088083,27.94685833,NA,NA
ABW,2005,23531.37695,0.001799442,0.235240845,0,0,1,1,12.5,0,102.615575,28.048025,NA,NA
ABW,2006,25757.81836,0.001785183,0.255457883,0,0,1,1,12.5,0,53.58900833,28.17738333,NA,NA
ABW,2007,27375.44727,0.00177834,0.270460267,0,0,1,1,12.5,0,69.2262375,28.30859167,NA,NA
ABW,2008,28639.58594,0.001776164,0.282603323,0,0,1,1,12.5,0,98.500525,27.944225,NA,NA
ABW,2009,29400.53906,0.001774868,0.289900401,0,0,1,1,12.5,0,47.81819167,28.30921667,NA,NA
ABW,2010,29913.77148,0.001771706,0.294435579,0,0,1,1,12.5,0,134.413215,28.41636667,NA,NA
ABW,2011,30528.54297,0.001765814,0.299487355,0,0,1,1,12.5,0,90.57891667,28.17314167,NA,NA
ABW,2012,30939.04883,NA,NA,NA,NA,NA,NA,12.5,0,50.25756667,28.50959167,NA,NA
ABW,2013,31553.53125,NA,NA,NA,NA,NA,NA,12.5,0,55.75743333,28.607525,NA,NA
ABW,2014,32336.22852,NA,NA,NA,NA,NA,NA,12.5,0,39.35215333,28.45525833,NA,NA
AFG,2002,NA,0.030383841,NA,0,1,NA,NA,33,0,24.31980083,14.25215417,0,0
AFG,2003,NA,0.029006501,NA,0,1,NA,NA,33,0,26.9824375,13.71479167,0,0
AFG,2004,NA,0.027781454,NA,0,1,NA,NA,33,0,23.36900167,14.59566167,0,0
AFG,2005,NA,0.026756614,NA,0,1,NA,NA,33,0,28.97298083,13.9710975,0,0
AFG,2006,NA,0.025923999,NA,0,1,NA,NA,33,0,26.44774583,14.61131417,0,0
AFG,2007,NA,0.025228824,NA,0,1,NA,NA,33,0,24.1806925,13.97006917,0,0
AFG,2008,NA,0.024609536,NA,0,1,NA,NA,33,0,19.46934583,14.12876667,0,0
AFG,2009,NA,0.023995774,NA,0,1,NA,NA,33,0,30.51663833,14.08818083,0,0
AFG,2010,NA,0.023347942,NA,0,1,NA,NA,33,0,23.13391583,14.48946833,0,0
AFG,2011,NA,0.022661537,NA,0,1,NA,NA,33,0,26.46844833,14.07119333,0,0
AFG,2012,NA,0.021961998,NA,0,1,NA,NA,33,0,32.35004667,13.309705,0,0
AFG,2013,NA,0.021277927,NA,0,1,NA,NA,33,0,27.1750075,14.18956917,0,0
AFG,2014,NA,0.020642159,NA,0,1,NA,NA,33,0,24.75773833,13.96633167,0,0
AGO,2002,188344.6719,0.077388177,0.011691386,1,1,0,1,12.5,1,87.31657667,22.01583333,0.8417096,0
AGO,2003,192070.5625,0.074691181,0.011507161,1,1,0,1,12.5,1,82.97817417,22.15574167,0.8417096,0
AGO,2004,201747.4844,0.072082334,0.011664738,1,1,0,1,12.5,1,88.26834167,21.959525,0.8417096,0
AGO,2005,217491.2969,0.069597724,0.012141573,1,1,0,1,12.5,1,80.55572917,22.44395,0.8417096,0
AGO,2006,255379.7969,0.067238477,0.013773441,1,1,0,1,12.5,1,92.63840917,21.63103333,0.8417096,0
AGO,2007,297778.7813,0.064986762,0.015522322,1,1,0,1,12.5,1,83.86022583,21.62210833,0.8417096,0
AGO,2008,354643.5625,0.062830573,0.017873152,1,1,0,1,12.5,1,87.52862667,21.62989167,0.8417096,0
AGO,2009,422951.0313,0.060755056,0.020611545,1,1,0,1,12.5,1,86.86581833,22.0453,0.8417096,0
AGO,2010,509115.875,0.058751305,0.023992318,1,1,0,1,12.5,1,79.2427325,22.11785833,0.8417096,0
AGO,2011,641505.9375,0.056817208,0.029236044,1,1,0,1,12.5,1,83.14135,21.54165,0.8417096,0
AGO,2012,683897.6875,0.054955489,0.030146733,1,1,0,1,12.5,1,83.70997083,21.51605,0.8417096,0
AGO,2013,734677.375,0.053168256,0.031331928,1,1,0,1,12.5,1,79.0114575,21.84751667,0.8417096,0
AGO,2014,796054.125,NA,NA,NA,NA,NA,NA,12.5,1,82.8063125,21.66965833,0.8417096,0
AIA,2002,1758.303711,NA,NA,NA,NA,NA,NA,18.25,0,147.4394,25.92704167,NA,NA
AIA,2003,1825.095947,NA,NA,NA,NA,NA,NA,18.25,0,162.9309083,25.75831667,NA,NA
