"ISO","Year","Pop","Land","openness_real","N","P","K","NperArea","PperArea","KperArea"
"AFG",2002,21487079,652860,0.9767442275,23446,2685,NA,3.02,0.35,NA
"AFG",2003,22507368,652860,1.3790103946,20320,5134,NA,2.57,0.65,NA
"AFG",2004,23499850,652860,1.211358187,23383,12067,NA,2.96,1.53,NA
"AFG",2005,24399948,652860,1.0486240057,25096,8000,NA,3.17,1.01,NA
"AFG",2006,25183615,652860,1.0055534941,49032,NA,NA,6.2,NA,NA
"AFG",2007,25877544,652860,0.761737611,28205,NA,NA,3.57,NA,NA
"AFG",2008,26528741,652860,0.7306552024,23289,NA,NA,2.94,NA,NA
"AFG",2009,27207291,652860,0.5690681742,35236,NA,NA,4.45,NA,NA
"AFG",2010,27962207,652860,0.549673281,33159,NA,NA,4.19,NA,NA
"AFG",2011,28809167,652860,0.50301222075,49936,1563,NA,6.31,0.2,NA
"AFG",2012,29726803,652860,0.44659247765,218171.4,460,NA,27.58,0.06,NA
"AFG",2013,30682500,652860,0.56065669937,114296.38,1539.16,NA,14.45,0.19,NA
"AFG",2014,31627506,652860,0.52873563605,92616,1541,NA,11.71,0.19,NA
"AGO",2002,16109696,1246700,1.053017426,2757,1006,1380,0.81,0.3,0.41
"AGO",2003,16691395,1246700,1.0390122955,1787,1461,2655,0.5,0.41,0.74
"AGO",2004,17295500,1246700,1.0357994705,7187,3643,4025,2,1.01,1.12
"AGO",2005,17912942,1246700,1.0659096213,3682,1501,2277,1.03,0.42,0.63
"AGO",2006,18541467,1246700,0.9462515933,6641,1378,4059,1.85,0.38,1.13
"AGO",2007,19183907,1246700,1.0806006789,5584,2405,3248,1.51,0.65,0.88
"AGO",2008,19842251,1246700,1.213647079,8172,3915,15993,2.21,1.06,4.33
"AGO",2009,20520103,1246700,1.2828817999,10468,5097,6324,2.44,1.19,1.47
"AGO",2010,21219954,1246700,1.046607014,17369,8629,8565,3.96,1.97,1.95
"AGO",2011,21942296,1246700,1.0079323356,16381,16868,23075,3.28,3.38,4.62
"AGO",2012,22685632,1246700,0.9371967581,19423.09,7944.56,14349.78,3.89,1.59,2.88
"AGO",2013,23448202,1246700,0.8667662073,20439.57,9444.63,15509.19,3.94,1.82,2.99
"ALB",2002,3051010,27400,0.6393424074,37986,18187,0,54.34,26.02,0
"ALB",2003,3039616,27400,0.6544062195,37155,20028,0,53.15,28.65,0
"ALB",2004,3026939,27400,0.6635782543,35785,22210,151,51.19,31.77,0.22
"ALB",2005,3011487,27400,0.702953012,36866,23024,149,55.94,34.94,0.23
"ALB",2006,2992547,27400,0.7345504917,30014,19491,189,42.57,27.65,0.27
"ALB",2007,2970017,27400,0.8287242263,30978,18971,434,44.38,27.18,0.62
"ALB",2008,2947314,27400,0.8602737228,28153,17567,565,40.39,25.2,0.81
"ALB",2009,2927519,27400,0.8335956262,33501,20605,330,48.13,29.6,0.47
"ALB",2010,2913021,27400,0.8546456034,33742,24258,2924,48.48,34.85,4.2
"ALB",2011,2904780,27400,0.9076286348,36708,23341,370,52.74,33.54,0.53
"ALB",2012,2900489,27400,0.8533851046,34765,22165,505,49.95,31.85,0.73
"ALB",2013,2897366,27400,0.8892961073,30548,22906,528,43.87,32.9,0.76
"ALB",2014,2894475,27400,0.7550335965,30547,22907,528,43.89,32.91,0.76
"ARE",2002,3394060,83600,0.9307165881,38920,3500,8000,146.32,13.16,30.08
"ARE",2003,3625798,83600,1.023001695,49115,2060,8945,193.37,8.11,35.22
"ARE",2004,3975945,83600,1.1662267331,22598,693,7929,88.97,2.73,31.22
"ARE",2005,4481976,83600,1.19553124,4127,4220,6514,16.06,16.42,25.35
"ARE",2006,5171255,83600,1.1947641489,41700,2470,1950,174.77,10.35,8.17
"ARE",2007,6010100,83600,1.3679815287,46120,610,2550,198.28,2.62,10.96
"ARE",2008,6900142,83600,1.4851354402,19900,610,1350,83.06,2.55,5.63
"ARE",2009,7705423,83600,1.5346194436,64310,300,1500,NA,3.41,17.06
"ARE",2010,8329453,83600,1.5100043391,29350,300,4500,317.98,3.25,48.75
"ARE",2011,8734722,83600,1.6262623422,24570,600,9000,277.63,6.78,101.69
"ARE",2012,8952542,83600,1.7596068306,19610,3760,8100,255.67,49.02,105.61
"ARE",2013,9039978,83600,1.7815955827,16850,4220,17700,217.98,54.59,228.98
"ARE",2014,9086139,83600,1.7587473628,15470,4220,12300,200.13,54.59,159.12
"ARG",2002,37889443,2736690,0.417527513,534592,286608,21178,18.52,9.93,0.73
"ARG",2003,38309475,2736690,0.4064468974,740659,420808,38843,24.95,14.18,1.31
"ARG",2004,38728778,2736690,0.3697140912,796423,565709,32256,25.06,17.8,1.02
"ARG",2005,39145491,2736690,0.3679644458,640406,513245,43894,18.89,15.14,1.29
"ARG",2006,39558750,2736690,0.3589432435,787677,618332,37339,21.97,17.25,1.04
"ARG",2007,39969903,2736690,0.3586162949,981351,766161,47058,26.22,20.47,1.26
"ARG",2008,40381860,2736690,0.3627045525,761959,436378,43378,21.01,12.03,1.2
"ARG",2009,40798641,2736690,0.3018282575,477061,296898,14235,13.52,8.41,0.4
"ARG",2010,41222875,2736690,0.3221237791,771245,683667,33214,19.79,17.54,0.85
"ARG",2011,41655616,2736690,0.3357155999,857190,724710,35943,21.55,18.22,0.9
"ARG",2012,42095224,2736690,0.2919632307,734890,595678,41996,18.03,14.62,1.03
"ARG",2013,42538304,2736690,0.2871984523,788154,601137,38736,19.37,14.77,0.95
"ARG",2014,42980026,2736690,0.2927758015,790864,569298,30964,19.67,14.16,0.77
"ARM",2002,3047249,28470,0.759434196,15700,8,0,31.98,0.02,0
"ARM",2003,3036420,28470,0.8218764655,10450,9,5,21.15,0.02,0.01
"ARM",2004,3025982,28470,0.7503721018,13187,1209,5,26.11,2.39,0.01
"ARM",2005,3014917,28470,0.7203892547,10251,33,41,20.3,0.07,0.08
"ARM",2006,3002161,28470,0.6260919307,12377,225,9,24.56,0.45,0.02
"ARM",2007,2988117,28470,0.5833645839,6799,96,37,13.43,0.19,0.07
"ARM",2008,2975029,28470,0.5570286212,8059,55,61,15.98,0.11,0.12
"ARM",2009,2966108,28470,0.5847886987,13233,99,0,26.34,0.2,0
"ARM",2010,2963496,28470,0.6614728669,10408,413,34,20.67,0.82,0.07
"ARM",2011,2967984,28470,0.7111086512,12152,69,73,24.18,0.14,0.15
"ARM",2012,2978339,28470,0.759667434,17959.92,324.01,362.6,35.56,0.64,0.72
"ARM",2013,2992192,28470,0.7655619579,20297.76,480.3,148.25,40.19,0.95,0.29
"ARM",2014,3006154,28470,0.7538489858,16951.97,1451.61,1190.5,33.55,2.87,2.36
"ATG",2002,80030,440,1.1243264121,10,19,23,2,3.8,4.6
"ATG",2003,80904,440,1.1873731201,33,34,42,6.6,6.8,8.4
"ATG",2004,81718,440,1.2537472146,0,14,16,0,2.8,3.2
"ATG",2005,82565,440,1.2312229435,17,6,1,3.4,1.2,0.2
"ATG",2006,83467,440,1.203885578,9,5,4,1.8,1,0.8
"ATG",2007,84397,440,1.1740596423,2,NA,NA,0.4,NA,NA
"ATG",2008,85350,440,1.1708737366,9,5,NA,1.8,1,NA
"ATG",2009,86300,440,1.0511353854,23,15,15,4.6,3,3
"ATG",2010,87233,440,1.0592007307,4,4,4,0.8,0.8,0.8
"ATG",2011,88152,440,1.0435474644,4,7,2,0.8,1.4,0.4
