"","countrycode","country","ck"
"1","ABW","Aruba",1073.07104492188
"2","ABW","Aruba",1186.22509765625
"3","ABW","Aruba",1313.04467773438
"4","ABW","Aruba",1463.07385253906
"5","ABW","Aruba",1650.28735351562
"6","ABW","Aruba",1837.64685058594
"7","ABW","Aruba",2011.36242675781
"8","ABW","Aruba",2241.45556640625
"9","ABW","Aruba",2513.97094726562
"10","ABW","Aruba",2808.4892578125
"11","ABW","Aruba",3120.802734375
"12","ABW","Aruba",3449.419921875
"13","ABW","Aruba",3783.27026367188
"14","ABW","Aruba",4059.21533203125
"15","ABW","Aruba",4323.51416015625
"16","ABW","Aruba",4678.9248046875
"17","ABW","Aruba",5164.31884765625
"18","ABW","Aruba",5693.17822265625
"19","ABW","Aruba",6326.39697265625
"20","ABW","Aruba",6989.48828125
"21","ABW","Aruba",7660.44384765625
"22","ABW","Aruba",8314.419921875
"23","ABW","Aruba",8963.3173828125
"24","ABW","Aruba",9860.3203125
"25","ABW","Aruba",10915.8505859375
"26","ABW","Aruba",11955.2841796875
"27","ABW","Aruba",12983.9443359375
"28","ABW","Aruba",14245.8544921875
"29","ABW","Aruba",15544.2431640625
"30","ABW","Aruba",16544.892578125
"31","ABW","Aruba",17308.97265625
"32","ABW","Aruba",18016.181640625
"33","ABW","Aruba",18796.2890625
"34","ABW","Aruba",19876.47265625
"35","ABW","Aruba",21405.63671875
"36","ABW","Aruba",23531.376953125
"37","ABW","Aruba",25757.818359375
"38","ABW","Aruba",27375.447265625
"39","ABW","Aruba",28639.5859375
"40","ABW","Aruba",29400.5390625
"41","ABW","Aruba",29913.771484375
"42","ABW","Aruba",30528.54296875
"43","ABW","Aruba",30939.048828125
"44","ABW","Aruba",31553.53125
"45","ABW","Aruba",32336.228515625
"46","AGO","Angola",77720.984375
"47","AGO","Angola",82640.65625
"48","AGO","Angola",87177.8359375
"49","AGO","Angola",92458.8125
"50","AGO","Angola",98809.0703125
"51","AGO","Angola",103429.7265625
"52","AGO","Angola",105630.1640625
"53","AGO","Angola",109740.34375
"54","AGO","Angola",113923.6171875
"55","AGO","Angola",117546.8828125
"56","AGO","Angola",120281.703125
"57","AGO","Angola",122607.2578125
"58","AGO","Angola",125135.125
"59","AGO","Angola",121325.1328125
"60","AGO","Angola",122040.359375
"61","AGO","Angola",120223.9140625
"62","AGO","Angola",120850.5
"63","AGO","Angola",120408.9609375
"64","AGO","Angola",119135.6328125
"65","AGO","Angola",116027.90625
"66","AGO","Angola",114738.1171875
"67","AGO","Angola",117019.15625
"68","AGO","Angola",124467.28125
"69","AGO","Angola",130248.6796875
"70","AGO","Angola",136168.359375
"71","AGO","Angola",145689.75
"72","AGO","Angola",159560.9375
"73","AGO","Angola",167298.84375
"74","AGO","Angola",181732.328125
"75","AGO","Angola",190761.3125
"76","AGO","Angola",190448.453125
"77","AGO","Angola",189098.984375
"78","AGO","Angola",188344.671875
"79","AGO","Angola",192070.5625
"80","AGO","Angola",201747.484375
"81","AGO","Angola",217491.296875
"82","AGO","Angola",255379.796875
"83","AGO","Angola",297778.78125
"84","AGO","Angola",354643.5625
"85","AGO","Angola",422951.03125
"86","AGO","Angola",509115.875
"87","AGO","Angola",641505.9375
"88","AGO","Angola",683897.6875
"89","AGO","Angola",734677.375
"90","AGO","Angola",796054.125
"91","AIA","Anguilla",155.729858398438
"92","AIA","Anguilla",178.001724243164
"93","AIA","Anguilla",203.372451782227
"94","AIA","Anguilla",231.410385131836
"95","AIA","Anguilla",262.44580078125
"96","AIA","Anguilla",291.839782714844
"97","AIA","Anguilla",317.241424560547
"98","AIA","Anguilla",348.785583496094
"99","AIA","Anguilla",386.222686767578
"100","AIA","Anguilla",426.387878417969
"101","AIA","Anguilla",466.321990966797
"102","AIA","Anguilla",505.664611816406
"103","AIA","Anguilla",542.174743652344
"104","AIA","Anguilla",559.52734375
"105","AIA","Anguilla",580.504333496094
"106","AIA","Anguilla",606.039489746094
"107","AIA","Anguilla",665.370422363281
"108","AIA","Anguilla",732.909362792969
"109","AIA","Anguilla",777.589233398438
"110","AIA","Anguilla",827.126037597656
"111","AIA","Anguilla",893.766967773438
"112","AIA","Anguilla",919.648681640625
"113","AIA","Anguilla",964.064331054688
"114","AIA","Anguilla",1011.94232177734
"115","AIA","Anguilla",1067.41284179688
"116","AIA","Anguilla",1132.88952636719
"117","AIA","Anguilla",1185.89038085938
"118","AIA","Anguilla",1243.1953125
"119","AIA","Anguilla",1344.73596191406
"120","AIA","Anguilla",1485.85375976562
"121","AIA","Anguilla",1623.39501953125
"122","AIA","Anguilla",1713.93835449219
"123","AIA","Anguilla",1758.3037109375
"124","AIA","Anguilla",1825.09594726562
"125","AIA","Anguilla",1974.98059082031
"126","AIA","Anguilla",2189.00073242188
"127","AIA","Anguilla",2471.68212890625
"128","AIA","Anguilla",2821.08081054688
"129","AIA","Anguilla",3158.32495117188
"130","AIA","Anguilla",3159.26879882812
"131","AIA","Anguilla",3126.5009765625
"132","AIA","Anguilla",3101.03344726562
"133","AIA","Anguilla",3108.84301757812
"134","AIA","Anguilla",3165.35498046875
"135","AIA","Anguilla",3296.04125976562
"136","ALB","Albania",8341.498046875
"137","ALB","Albania",9139.7080078125
"138","ALB","Albania",9979.962890625
"139","ALB","Albania",10938.64453125
"140","ALB","Albania",12095.361328125
"141","ALB","Albania",13168.8671875
"142","ALB","Albania",14067.861328125
"143","ALB","Albania",15281.5029296875
"144","ALB","Albania",16651.291015625
"145","ALB","Albania",18108.474609375
"146","ALB","Albania",19475.17578125
"147","ALB","Albania",20819.9921875
"148","ALB","Albania",22260.31640625
"149","ALB","Albania",22660.755859375
"150","ALB","Albania",23848.40625
"151","ALB","Albania",24653.70703125
"152","ALB","Albania",26067.96484375
"153","ALB","Albania",27256.43359375
"154","ALB","Albania",28346.27734375
"155","ALB","Albania",29426.125
"156","ALB","Albania",31216.63671875
"157","ALB","Albania",30082.28125
"158","ALB","Albania",28967.671875
"159","ALB","Albania",29010.46484375
"160","ALB","Albania",29634.310546875
"161","ALB","Albania",30537.5859375
"162","ALB","Albania",31275.208984375
"163","ALB","Albania",31464.57421875
"164","ALB","Albania",31726.58984375
"165","ALB","Albania",32238.12109375
"166","ALB","Albania",33585.98046875
"167","ALB","Albania",35365.60546875
"168","ALB","Albania",37005.26171875
"169","ALB","Albania",40502.71875
"170","ALB","Albania",44636.8984375
"171","ALB","Albania",49495.1484375
"172","ALB","Albania",63361.08203125
"173","ALB","Albania",71803.96875
"174","ALB","Albania",82640.5078125
"175","ALB","Albania",96002.0703125
"176","ALB","Albania",94202.3359375
"177","ALB","Albania",104642.9609375
"178","ALB","Albania",89331.359375
"179","ALB","Albania",93572.09375
"180","ALB","Albania",112792.828125
"181","ARE","United Arab Emirates",152032.28125
"182","ARE","United Arab Emirates",163381.21875
"183","ARE","United Arab Emirates",179179.03125
"184","ARE","United Arab Emirates",191829.671875
"185","ARE","United Arab Emirates",203924.421875
"186","ARE","United Arab Emirates",234752.609375
"187","ARE","United Arab Emirates",267723.9375
"188","ARE","United Arab Emirates",319816.78125
"189","ARE","United Arab Emirates",384383.59375
"190","ARE","United Arab Emirates",447978.5
"191","ARE","United Arab Emirates",506969.09375
"192","ARE","United Arab Emirates",559179.3125
"193","ARE","United Arab Emirates",606465.4375
"194","ARE","United Arab Emirates",635620.375
"195","ARE","United Arab Emirates",666441.625
"196","ARE","United Arab Emirates",688297.4375
"197","ARE","United Arab Emirates",722409.6875
"198","ARE","United Arab Emirates",741247.25
"199","ARE","United Arab Emirates",757937.8125
"200","ARE","United Arab Emirates",771975.5
"201","ARE","United Arab Emirates",791786.625
"202","ARE","United Arab Emirates",805990.4375
"203","ARE","United Arab Emirates",829189.875
"204","ARE","United Arab Emirates",847959.3125
"205","ARE","United Arab Emirates",877958.875
"206","ARE","United Arab Emirates",915907.875
"207","ARE","United Arab Emirates",944037.5625
"208","ARE","United Arab Emirates",980660.375
"209","ARE","United Arab Emirates",1023806.9375
"210","ARE","United Arab Emirates",1067885.875
