CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.91104859,86.63511637,82.52558184,79.65026354,79.93358865,74.40032444,70.49752691,64.92086331,63.10116086,65.07896716,68.55225312,65.85253456,66.16107669,67.7045177,63.78269618,61.0422996,67.81332165,65.24134891,68.57822982,69.85030571,69.6139477,69.83959477,70.81092263
Afghanistan,AFG,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,,,,,,,,,,,,,,,,,,,,,,,,32.77984127,44.36894813,30.92158738,28.44834775,25.31780842,19.11769889,26.94859147,22.70032338,18.5741707,21.90495206,18.96654129,19.59158171,15.78237739,11.68798401,5.933360842,5.904815515
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.68583119,75.38894373,57.0849959,54.32133738,58.38034553,65.52626777,63.4678635,67.90578337,72.47502847,58.75730302,61.54311272,60.66994844,55.9401314,50.74708439,44.69503125,29.75459949,28.12448456,29.00410005
Albania,ALB,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62044389,10.19726914,11.46712468,16.84175169,20.11536336,21.33343035,20.9456604,20.84743662,22.21753771,23.01299612,25.20959971,28.24786024,25.30240331,25.24074773,27.97946186,29.24150254,28.93748626,28.91634625,28.21297136,27.26738418,28.9234171,31.52427158
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,37.13146968,38.70025125,41.13449498,57.24671485,49.90872622,50.72326912,45.01477462,43.59639769,39.70684755,44.96992059,50.52535565,47.09755334,39.43581462,34.05593105,32.27411787,29.57457783,24.28059487,27.68444027,27.97451261,29.72193064,32.34121937,28.96462954,30.56727771,28.73620777,29.6893226,31.42006284,32.56627776,37.3321432,33.12514396,36.33494539,42.6296841,40.8785867,41.67943677,45.69460212,49.01876806,52.81250075,53.94423096,53.97543834,57.23376071,47.69015818,50.23955013,55.23279936,56.51527448,54.58942352,50.93225998,43.92219558,40.90533382,43.6182987
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.5677906,67.58543439,68.62783077,72.3840975,78.8678887,79.65331786,77.73799993,89.78180974,100.3223124,100.6315481,99.11504126,100.8704802,101.0030139,100.3838415
Argentina,ARG,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388297,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.58383239,11.1815699
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00298151,40.74538838,39.82075502,47.21897587,39.32803935,23.92792083,23.2400035,20.27326939,19.00301997,20.75824695,23.37525912,25.46839941,29.35657306,32.15266963,29.73481317,28.80924261,23.35898587,19.18563442,15.0471063,15.47447505,20.83010917,23.75685346,27.56672188,28.3591265,28.5651387,29.72799648,33.14800495,37.31976764
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7782101,97.34345351,89.84375,99.00596421,99.7983871,97.11538462,113.8543517,78.17109145,63.19444444,58.36236934,74.8447205,71.29485179,66.25194401,64.59909228,65.39050536,57.41324921
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,40.71377231,52.47093382,69.16094182,56.36247365,61.64499989,56.92241494,51.62376012,62.23886231,62.95824775,70.8898543,67.31972364,66.60832817,66.30366737,75.15195927,76.78183377,81.57060836,82.08287341,74.04773227,69.56882308,63.5162942,65.13043445,64.00951147,61.71108096,56.23766723,55.61529721,52.52360026,54.0690302,58.06724486,53.34318278,47.37832642,44.32581582,45.6996843,45.87479159,45.45318423,47.08717452,44.8512534,45.732801,46.31165665,44.30517122,41.57287507,
Australia,AUS,12.99445248,12.40310078,13.9430116,13.00588572,14.93824833,13.22017794,12.93238025,12.8837295,12.29766804,11.95485962,12.97703708,12.66127432,12.82575945,14.15502161,13.15199894,14.28149731,13.5231274,14.02290474,13.62817347,14.31198232,16.43946722,14.91206732,13.54103776,13.59473322,13.58021798,15.25998766,15.01374181,15.49431355,15.98414551,15.14586825,15.14356306,16.0590439,16.69140397,17.57366341,18.00589167,17.91688487,18.93919435,19.17481105,19.59557692,18.35395554,19.44348189,22.23518161,20.78313613,19.10300414,17.21976483,18.28530247,19.90812669,20.23056827,20.18869866,23.03850745,19.8425192,21.47284119,21.51897381,19.98771744,21.07576502,20.01296407,19.25302663,21.27035363
Austria,AUT,23.24782514,23.00532979,23.41637319,23.42681102,23.39939892,23.77029334,23.7086814,23.70425472,24.30917142,26.84800179,27.39175701,27.0353547,26.93066646,26.91936689,29.1143699,28.09463586,28.75252642,27.95395679,29.11509299,30.88077524,31.69307175,33.00066162,31.74149643,30.47819882,32.75101762,34.92132141,31.99771471,31.40620488,33.0709262,35.01520274,35.69741465,34.59048808,33.15526766,31.46389801,32.15853389,33.53314035,34.24927611,37.02808274,38.35102119,39.35703789,43.34627395,44.61755552,45.3193862,44.57041472,46.86721497,48.6197522,50.84166886,52.56086942,53.24886062,45.20741656,51.26216033,53.94867085,53.9736762,53.4412933,53.39944783,52.93149063,52.26183404,53.936382
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86666667,48.8,86.56458333,57.46242038,24.72111022,32.48664355,24.92863939,29.03460723,22.69952915,27.97012,40.17083148,41.49860787,42.76783505,42.00657665,48.78900846,62.94110601,66.50414484,68.12891169,65.77613785,51.63574568,54.30472154,56.42698053,52.97468019,48.41583308,43.27355666,37.79477749,46.42764939,48.68817468
Burundi,BDI,12.49999962,12.93103499,13.11475373,7.518797057,14.0939593,10.3479635,10.77615982,10.80058971,10.29569557,9.658715376,10.68877683,8.435749897,11.73444345,11.0161732,9.753397451,8.275645724,13.72648388,17.59561023,11.70769278,14.16264464,8.809380565,9.143350509,10.211975,9.045580083,11.50400691,11.02661916,11.7232284,9.744902936,12.59077005,9.74574399,7.872992294,9.917377701,8.749180522,9.381960846,10.27176505,12.92634285,5.820321019,9.835472579,7.999750125,7.575757576,6.318970594,5.179202165,4.685804181,6.381414025,6.952748287,6.2,7.3,6.800000136,10.50000026,6.600000274,9.700001639,8.800000284,9.700000891,9.1,8.700002079,6.418759976,6.407934323,
