CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47642417,88.69978503,86.24525013,83.64284204,84.63556445,70.67285327,68.54815246,69.38129496,70.86788281,68.56354976,77.94822627,78.11059908,76.7998291,78.18477818,76.27990163,77.5648516,83.7861525,82.43332599,82.53624757,79.75964579,75.63304276,74.63064584,75.23789822
Afghanistan,AFG,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,70.32936157,71.99359349,60.66392329,70.77464634,74.50440128,62.27575653,73.12136638,66.66455039,62.75031392,66.87470893,62.62026042,55.15232718,51.41354736,43.43754258,41.72569458,45.33206528
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86127827,74.94685096,48.2167467,49.57988943,45.19957883,41.06469436,31.15729583,40.15428452,48.88967943,63.68883932,42.58051724,39.31255941,35.8599672,36.06484639,34.63789626,33.13392129,25.24567072,23.2527214
Albania,ALB,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27501279,35.22835653,36.67032179,34.16930797,43.33887338,45.1575919,47.57950119,46.17315246,44.82956825,47.85932703,49.05750314,54.95418051,52.14930284,49.85418765,48.56398404,51.97705102,47.5726866,46.95741575,47.1948427,44.53363192,45.74584257,46.55718449
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,21.73296616,20.52546484,20.89950546,23.76784302,23.97119301,31.08422415,31.09779183,36.70154503,38.1127635,35.19903543,34.26541908,39.32525714,42.56523391,40.34501737,38.7090085,34.45605198,32.23061429,31.22582193,32.66049806,36.15629004,33.76521103,40.05830581,33.65733646,31.7012385,29.2243385,30.35740586,28.87779273,30.85703455,33.16778632,30.00492962,28.09655899,31.49088822,32.01987516,34.28456332,36.11578636,36.3887521,35.75587567,39.61086345,40.78786873,42.2903236,38.45190739,37.12032301,37.767513,39.74127041,42.18054093,44.9004868,41.71982317,40.56287227
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96768961,50.84287191,64.41405537,69.64565532,73.8086265,63.57104198,62.01646036,64.8207001,64.90964423,68.93519241,74.35082733,75.74463412,72.42668542
Argentina,ARG,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.483699779,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.53808142,13.8392666
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33273703,60.12046681,61.25600438,60.75417041,73.10132525,62.18693624,55.98955662,58.27447567,52.83943191,49.80223219,50.54326015,46.14879722,46.5868759,50.03500154,45.30239702,43.22971407,39.2502072,39.15081126,40.65575862,43.00439482,45.31720064,47.35401696,48.40002152,48.19706929,47.04654614,41.86526887,42.76987508,49.54832654
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7548638,108.3491461,110.7421875,122.0675944,127.8225806,119.4230769,133.9253996,82.00589971,93.22916667,97.38675958,99.8447205,100,105.4432348,99.39485628,97.09035222,92.7444795
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,44.9194443,49.44489924,63.80639299,72.58560054,80.46141775,89.9172262,64.35076164,70.78301958,77.70087597,101.0407729,89.90719023,71.19245877,77.23681319,74.12017255,74.29222724,77.40239345,74.46193534,71.58207172,76.03335875,73.74847167,70.27282638,67.30989934,69.08417844,60.04412339,60.76539283,58.24094095,62.49699032,64.41421605,66.78989759,70.73546553,71.0973929,69.58391462,57.70678963,58.91089899,56.15968498,57.94751061,60.42217978,58.21622043,49.32437132,46.88566851,
Australia,AUS,14.06174626,15.0250798,12.63092691,13.83405386,13.76449514,15.26734042,15.13022759,13.89349549,14.48559671,13.33414888,13.22132349,12.93668122,11.97355699,11.02040816,13.21672171,14.73552522,13.3837261,14.65382613,14.59391952,15.36041431,15.91264231,16.74435423,16.83374153,15.62741262,15.00902379,17.3096652,18.08614095,17.09401111,16.64474943,16.9791508,17.07036298,16.19172141,16.41893859,17.89461576,18.52141314,19.88466679,19.39313759,18.90000018,20.47485364,20.80216069,21.60415459,22.14891184,20.79122692,21.20985027,19.9365275,21.02931344,21.72580818,21.87698418,22.73909897,22.82647568,20.87386525,20.50509857,21.76810529,21.28586162,21.50408328,21.53442325,21.51844657,20.62261643
Austria,AUT,23.26193335,21.90190728,22.20171697,22.85788192,23.58618233,24.46902161,25.21686113,24.60428649,24.70470975,25.87725787,27.46863474,27.34511645,27.36535276,27.53745305,30.45336188,28.5044983,31.16375521,32.32363889,30.55289477,32.4364439,35.1319343,35.39588868,32.37561749,31.99398616,33.82398841,35.16184006,32.01688251,31.44751785,33.49162414,35.52315605,35.79095483,35.45791781,34.47489981,31.80115248,33.82855945,34.72346076,35.83439501,37.83960748,38.57612821,38.90310246,42.01422167,42.91910925,41.6287818,41.8169677,43.92513072,45.41405348,47.24664234,48.17238464,48.82482212,41.85481441,47.75763591,51.15411778,51.17850123,50.62512079,50.12952519,49.20451979,48.90517868,50.77138994
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.33333333,44.04,54.825,76.02802548,30.62820923,53.4070672,55.92110078,53.04435931,54.52827995,41.85584488,38.3777368,37.31657762,50.04865979,65.54537186,72.71810743,52.9007786,38.75825501,28.51289646,23.46675902,23.108296,20.68126693,24.08106448,25.28838935,26.26001169,26.20966854,34.80673042,43.64966934,41.97541602
Burundi,BDI,13.39285783,14.65517299,16.39344216,14.28571441,12.08053731,12.53428946,12.99218038,11.88577655,13.36681223,12.0945743,11.62101972,14.17168014,15.07496967,13.33273113,15.53393773,19.00177059,16.65287675,17.29141892,20.2264008,22.72214152,23.29206503,22.0376957,26.90744599,24.74775974,23.55230979,20.78690239,22.3156305,25.73863173,25.95318325,22.9435654,27.77514726,28.50518278,29.47695089,27.16103576,28.48175853,27.27828356,15.75340125,14.43990665,19.44027986,15.9639877,16.23475389,15.78484345,16.98802523,20.99489805,24.62336989,28.9,35.1,31.99999864,36.69999932,29.20000329,29.80000376,34.20000255,33.99998812,37.50001311,34.3000082,16.43195111,16.64824409,
Belgium,BEL,38.50067422,39.80529742,40.58455193,42.67004473,42.8293237,42.00679821,44.36964024,42.26756145,44.40565651,47.69100873,42.58820529,41.63787613,40.90157993,45.91504834,52.15383604,45.41276637,48.0550865,47.96437285,46.35198239,51.42975633,52.71188767,55.91778847,59.56633293,59.74347181,63.54559727,61.16011224,54.80869389,53.82029942,56.77115829,61.10786196,59.59831854,58.11102593,56.01987707,52.67885808,54.57307127,56.02369955,57.61730906,60.46992349,60.08722775,60.09851531,69.22148384,67.67409714,64.81011222,63.39421837,65.66786336,69.85499588,71.98276139,73.67278529,79.21206194,67.04698162,74.65171918,81.11811911,81.68914021,80.48834199,82.03794746,79.43496133,81.60692689,84.34941484
Benin,BEN,12.110286,9.534632137,9.959304461,11.62589881,12.24316515,14.90571057,16.19606297,19.77226627,19.07658678,21.42850573,24.46132362,27.83261413,26.80014939,25.95016696,29.49464837,33.41298203,31.0285114,34.7807829,34.54536444,37.02178868,37.32210672,43.95887164,40.08629954,31.5777227,30.93192817,36.64859962,32.61549675,30.95060709,32.08308882,24.80493838,26.53887913,30.34223077,33.50159776,32.9174161,36.07346064,36.43119751,30.01897989,31.53549502,32.50068575,40.98182477,34.85130112,36.92675727,31.29638328,29.73830293,27.55170393,26.88452127,28.3238499,35.21845509,33.6432798,31.47520291,32.85221149,29.44476757,31.7345243,36.63368935,42.84338369,34.35806542,36.26282378,40.29072884
Burkina Faso,BFA,15.83940461,15.7899764,15.70596469,15.6690092,11.51843946,11.37662058,11.64848834,13.92730705,15.28739068,16.53239462,16.14177019,19.9310891,21.28899967,22.91953873,24.47291572,30.15111636,27.00824323,30.44326689,27.75082927,29.28244368,31.26250766,31.43511365,31.62403532,29.57414785,28.75779204,31.02608229,28.97116629,28.08112953,27.13098209,23.64589735,24.45595903,23.34868798,19.52753601,20.67354067,25.02760109,26.60691488,27.61669256,26.60388778,28.13168055,24.16795805,24.97978041,23.12582748,21.69622157,22.02230533,25.8001442,25.79172314,25.38254314,24.87483237,26.34324155,27.72150678,29.64008894,33.1503015,37.16053004,27.85588465,24.36337009,24.99670588,25.97297321,26.35411727
Bangladesh,BGD,9.307258373,11.69999897,10.80809699,11.65627794,14.12185539,13.3665973,12.65182215,12.59571799,11.60633145,11.66532876,12.50748406,10.72758452,13.73255915,11.85524718,10.3485456,8.100547239,17.63619316,12.38144623,15.4808518,15.79784406,17.88294732,14.11629594,15.53162433,14.71303159,13.41547204,12.83770602,11.83581054,11.69774799,12.24976334,12.7850303,13.05818553,12.22721492,12.34732859,14.10431403,13.86432091,17.34486186,16.36958007,15.80514283,16.12273217,16.62929817,16.97751313,18.71145786,16.55741179,16.2267362,15.7117252,20.00409297,21.75846087,22.94704781,24.96205555,23.15266332,21.77872999,27.49877488,27.94933388,26.75852861,25.5244202,24.74932252,21.30458139,20.26789246
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,30.68861231,34.52261126,33.21648916,36.93962019,38.24615025,43.20224081,43.46992488,42.62235398,45.89608581,48.15837612,36.72786877,39.20412675,52.93824701,45.83472733,45.67256469,49.90613559,45.38904643,37.28415977,35.31185134,47.65860936,41.81997866,44.53871419,41.94556028,44.94192267,52.50865814,57.63349124,64.53829546,71.21171058,72.30149033,50.60909025,53.02836784,58.6929011,63.97457838,65.30077773,65.85940112,63.9566154,59.66514395,63.70695499
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,115.2404715,120.0092032,106.7770645,92.95073341,93.84405856,89.84050688,84.81310447,87.40003822,77.49443287,87.62992359,94.60513707,95.63864723,96.74204545,80.72929985,73.98490141,70.47376878,76.20189497,69.50529596,63.88542858,62.96445322,56.62841845,53.41544007,58.38986288,56.02846845,62.13213015,64.41946296,62.46424927,58.10552134,63.30522825,49.49813154,50.93507678,74.74121996,83.74172054,87.07080664,79.5138994,71.65060855,65.58715438,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,66.1430575,67.51561749,60.2035392,62.87725605,62.36943568,59.55141608,58.01592798,58.30679536,59.27091219,57.9049545,55.8032445,,57.16884389,55.95925458,55.16752594,51.21453844,51.39327296,53.38048481,54.91630213,57.81906345,42.85448079,43.069007,39.24584877,41.59738103,38.42829199,34.10252715,35.25330634,37.78675227,42.63638397,49.24143697,47.92086145,47.93558807,42.33036398,43.72231511,50.89842063,46.12378154,45.56532049,49.84622124,38.70576563,37.67780518,41.80939147
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.39893826,71.46787364,83.88233728,72.79732986,98.36341183,94.17666266,75.5002714,75.92642464,70.92935457,83.16849181,66.84393287,71.63375162,63.02171064,56.45030422,59.3148096,48.73811824,51.27267139,55.80037667,55.79456891,54.18819337,56.67004402,53.32818439,52.23246639,55.69292102
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.64896074,33.33333333,57.60869565,83.35025381,84.10610914,54.05302999,50.42509604,65.65629856,63.90656844,61.63177646,72.39834461,70.29732374,67.37454234,68.98547237,74.25017703,59.08654297,64.23379212,67.21082526,68.66172333,59.759183,62.95789791,79.50889355,74.30836203,61.48238713,55.71042031,57.90405963,62.69997578,67.06194926
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,57.3915223,63.05121057,59.05553251,54.39689506,58.70299678,51.28247011,48.63792885,52.38376237,56.97464571,57.48216354,51.27395048,0,52.91925098,50.18440829,52.43820538,49.11100777,50.26587825,55.70716124,56.92769928,67.35425289,73.67303773,69.09676272,66.1299369,65.93645098,58.51346912,62.69506886,61.65180826,61.21685798,69.65296524,56.29646481,57.82619883,63.21242342,62.13373166,65.39088459,64.10829698,64.80639764,60.53589628,57.61866061
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51093126,30.18607294,28.84300217,28.65508619,29.59251558,,,,
Bolivia,BOL,23.93391382,23.33743842,25.60540642,26.34239888,23.47207179,26.68523677,26.47798742,26.01626016,24.03846154,23.25244477,24.35854991,24.40073755,24.01913876,28.31987971,26.79769666,32.21663411,29.88640313,29.64494201,30.1082418,27.39607582,22.52252252,22.91666667,29.32960894,24.04458599,25.81795627,22.84285327,25.71410883,24.12720592,23.13880894,23.15646579,23.92629321,26.96562034,29.0650961,28.38636003,27.19753938,27.18656477,27.27442065,29.35906095,32.58247785,27.28735619,27.32302914,25.25567283,27.7158054,26.36710166,26.32587575,32.09379899,32.7661346,34.26625502,37.96046497,32.90444922,34.32417047,38.38869337,37.78256468,37.13842804,41.9713817,37.06454906,31.91302884,31.80050852
Brazil,BRA,7.117285543,7.339459071,5.188973948,9.111000021,5.677600006,5.555924843,5.991669227,5.768971066,6.610384411,6.553713097,7.449759148,8.137973432,8.844075565,9.501580998,13.88372808,11.50558031,9.432617823,7.917747637,7.864394358,9.175567788,11.30583071,9.799449095,8.274479024,9.008341194,7.924387293,7.095314561,6.354576555,6.192662646,5.692538049,5.46126798,6.961765546,7.913943536,8.385094331,9.096046055,9.66785407,9.455584961,8.905381793,9.592559686,9.408084592,11.41726822,12.45171335,14.56457435,13.38776713,12.95960101,13.13249097,11.8429658,11.6673833,11.96493642,13.72356887,11.2546046,11.77920798,12.23551783,13.06225025,13.93167816,13.673463,14.05343452,12.07966389,11.55218258
Barbados,BRB,,,,,,,,,,,,,,,,60.40844812,64.80373312,61.10529589,68.35672181,76.13290811,72.04854088,69.03286779,66.46733668,69.36438071,67.18342887,60.06140569,54.21941726,45.45953737,45.18908105,48.32224556,43.13306303,41.69288315,34.6968066,38.11444539,38.16589244,44.14111441,44.51659452,48.28178024,44.74002837,45.57459311,46.40237066,44.48526463,43.60013882,46.1929554,49.35905644,51.74736356,51.04393631,47.43217936,50.88874948,45.65341131,47.99774829,48.62687464,47.46206793,51.99241192,50.69818916,43.77256416,46.21388591,44.8622756
Brunei Darussalam,BRN,,,,,,,,,,,,,,,17.35341335,23.42622004,18.25886636,16.08782057,14.47273057,14.13786882,11.66426622,13.71348041,17.22645335,18.98103128,,,,,,35.20789195,37.26688607,40.17200938,47.90902421,51.76364185,48.40621496,55.8271237,60.64051019,58.49423351,57.40412979,48.40323201,35.81729355,39.19356475,41.62613879,35.96921573,31.79052372,27.28916946,25.2164514,27.8977165,27.61460739,35.7894602,27.96147673,30.03046818,35.47872117,42.8950042,30.65049207,32.68646642,37.74202395,35.60355377
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,37.70276137,48.03859053,47.69614828,45.77204981,45.13039835,51.13760517,52.42133226,38.09133888,49.11632028,37.96754958,30.65261276,40.1228102,55.90385045,44.09362095,39.42604142,42.6295264,45.66832041,46.11597789,49.41758839,50.70118172,48.28761896,47.74815445,49.32871657,50.82833902,62.16441782,64.44833121,59.17786166,57.29551517,57.95919187,62.20414564,70.73120267,70.48616833,63.03859296,62.27557071,57.33800658,63.19885157,50.27405881,49.55338639
Botswana,BWA,39.64394208,42.52550467,44.83899262,47.34535685,48.57670261,50.6097561,50.94850949,50.77349314,62.94736842,52.56525653,60.91370558,61.56387665,60.54287962,61.96518147,64.77518634,63.79211879,66.32148377,69.30966469,68.524389,65.24992517,66.44230186,71.53032832,69.27419741,62.56561807,57.96219857,51.23175935,49.12874011,48.44218821,43.9296497,46.13626671,49.79191333,46.52887119,41.57169149,39.11240781,40.35821104,43.7586738,37.12713079,47.7236766,52.55186722,43.73181291,40.09291962,38.86745733,39.67834728,37.00718468,41.38403511,35.58179851,34.08011528,40.58855625,51.04194313,51.88507096,51.26433191,53.59504374,61.40415192,61.43658958,53.94247274,53.55960632,43.16155733,33.92763912
