pr,"	Year", Month, Country, ISO3, ISO2
9.77324,1901,1,EGY,,
1.85937,1901,2,EGY,,
2.10263,1901,3,EGY,,
1.52702,1901,4,EGY,,
14.7047,1901,5,EGY,,
1.81277,1901,6,EGY,,
2.66543,1901,7,EGY,,
2.8287,1901,8,EGY,,
1.35963,1901,9,EGY,,
1.22698,1901,10,EGY,,
2.32101,1901,11,EGY,,
4.76793,1901,12,EGY,,
9.19943,1902,1,EGY,,
3.40289,1902,2,EGY,,
2.89851,1902,3,EGY,,
2.44999,1902,4,EGY,,
2.49416,1902,5,EGY,,
1.82923,1902,6,EGY,,
2.69486,1902,7,EGY,,
2.8287,1902,8,EGY,,
1.27642,1902,9,EGY,,
1.70174,1902,10,EGY,,
3.37859,1902,11,EGY,,
4.85782,1902,12,EGY,,
6.63807,1903,1,EGY,,
4.10595,1903,2,EGY,,
4.16507,1903,3,EGY,,
2.21532,1903,4,EGY,,
2.29877,1903,5,EGY,,
1.55166,1903,6,EGY,,
2.66543,1903,7,EGY,,
2.85325,1903,8,EGY,,
1.28105,1903,9,EGY,,
1.44313,1903,10,EGY,,
1.88891,1903,11,EGY,,
2.8239,1903,12,EGY,,
7.31074,1904,1,EGY,,
3.91655,1904,2,EGY,,
2.21122,1904,3,EGY,,
5.76783,1904,4,EGY,,
2.36454,1904,5,EGY,,
1.55248,1904,6,EGY,,
2.66543,1904,7,EGY,,
2.8287,1904,8,EGY,,
1.27642,1904,9,EGY,,
1.80508,1904,10,EGY,,
5.74549,1904,11,EGY,,
6.78932,1904,12,EGY,,
4.37579,1905,1,EGY,,
4.93381,1905,2,EGY,,
4.6654,1905,3,EGY,,
5.98457,1905,4,EGY,,
2.16883,1905,5,EGY,,
1.5591,1905,6,EGY,,
2.66571,1905,7,EGY,,
2.82947,1905,8,EGY,,
1.22866,1905,9,EGY,,
1.47662,1905,10,EGY,,
2.38723,1905,11,EGY,,
8.00176,1905,12,EGY,,
3.61916,1906,1,EGY,,
2.66759,1906,2,EGY,,
3.16496,1906,3,EGY,,
2.7866,1906,4,EGY,,
7.66139,1906,5,EGY,,
1.87623,1906,6,EGY,,
2.66147,1906,7,EGY,,
2.8257,1906,8,EGY,,
1.22867,1906,9,EGY,,
4.89159,1906,10,EGY,,
1.69615,1906,11,EGY,,
1.5549,1906,12,EGY,,
9.55837,1907,1,EGY,,
3.82487,1907,2,EGY,,
4.48541,1907,3,EGY,,
3.44705,1907,4,EGY,,
2.01995,1907,5,EGY,,
1.81953,1907,6,EGY,,
2.70029,1907,7,EGY,,
2.9064,1907,8,EGY,,
1.24837,1907,9,EGY,,
3.12805,1907,10,EGY,,
4.07978,1907,11,EGY,,
3.11881,1907,12,EGY,,
14.5641,1908,1,EGY,,
5.84924,1908,2,EGY,,
6.75296,1908,3,EGY,,
6.87414,1908,4,EGY,,
2.41236,1908,5,EGY,,
2.6599,1908,6,EGY,,
2.65774,1908,7,EGY,,
2.81761,1908,8,EGY,,
1.1805,1908,9,EGY,,
3.31905,1908,10,EGY,,
4.04621,1908,11,EGY,,
5.13137,1908,12,EGY,,
7.39886,1909,1,EGY,,
2.54084,1909,2,EGY,,
2.44579,1909,3,EGY,,
6.27125,1909,4,EGY,,
4.37746,1909,5,EGY,,
1.48576,1909,6,EGY,,
2.65774,1909,7,EGY,,
2.81761,1909,8,EGY,,
1.24963,1909,9,EGY,,
2.20088,1909,10,EGY,,
2.10717,1909,11,EGY,,
3.69004,1909,12,EGY,,
6.37058,1910,1,EGY,,
1.77425,1910,2,EGY,,
6.01219,1910,3,EGY,,
4.69151,1910,4,EGY,,
2.87509,1910,5,EGY,,
1.5226,1910,6,EGY,,
2.65032,1910,7,EGY,,
2.86871,1910,8,EGY,,
1.22429,1910,9,EGY,,
1.22077,1910,10,EGY,,
3.08553,1910,11,EGY,,
2.29132,1910,12,EGY,,
8.13945,1911,1,EGY,,
7.05319,1911,2,EGY,,
3.71536,1911,3,EGY,,
3.008,1911,4,EGY,,
2.22569,1911,5,EGY,,
1.48735,1911,6,EGY,,
2.79931,1911,7,EGY,,
2.81761,1911,8,EGY,,
1.2234,1911,9,EGY,,
4.48372,1911,10,EGY,,
4.11893,1911,11,EGY,,
6.03869,1911,12,EGY,,
5.81494,1912,1,EGY,,
6.07512,1912,2,EGY,,
2.60265,1912,3,EGY,,
2.38777,1912,4,EGY,,
3.11915,1912,5,EGY,,
1.48585,1912,6,EGY,,
2.68072,1912,7,EGY,,
2.82387,1912,8,EGY,,
1.20239,1912,9,EGY,,
1.69296,1912,10,EGY,,
3.76799,1912,11,EGY,,
6.74623,1912,12,EGY,,
2.33292,1913,1,EGY,,
5.88788,1913,2,EGY,,
3.47629,1913,3,EGY,,
2.35408,1913,4,EGY,,
11.8105,1913,5,EGY,,
1.49767,1913,6,EGY,,
2.65966,1913,7,EGY,,
3.02271,1913,8,EGY,,
1.20496,1913,9,EGY,,
5.03021,1913,10,EGY,,
3.17582,1913,11,EGY,,
4.58917,1913,12,EGY,,
2.14338,1914,1,EGY,,
4.01902,1914,2,EGY,,
2.23078,1914,3,EGY,,
7.92045,1914,4,EGY,,
2.30056,1914,5,EGY,,
1.48549,1914,6,EGY,,
2.7531,1914,7,EGY,,
2.86099,1914,8,EGY,,
1.32948,1914,9,EGY,,
1.15642,1914,10,EGY,,
3.22373,1914,11,EGY,,
6.59207,1914,12,EGY,,
3.45595,1915,1,EGY,,
3.83653,1915,2,EGY,,
3.85444,1915,3,EGY,,
2.37321,1915,4,EGY,,
2.15748,1915,5,EGY,,
1.48715,1915,6,EGY,,
2.65032,1915,7,EGY,,
2.79448,1915,8,EGY,,
1.2188,1915,9,EGY,,
1.05065,1915,10,EGY,,
1.68797,1915,11,EGY,,
3.8598,1915,12,EGY,,
11.0669,1916,1,EGY,,
4.65696,1916,2,EGY,,
5.55915,1916,3,EGY,,
3.10843,1916,4,EGY,,
2.16702,1916,5,EGY,,
1.49106,1916,6,EGY,,
2.65988,1916,7,EGY,,
2.79385,1916,8,EGY,,
1.20847,1916,9,EGY,,
2.85773,1916,10,EGY,,
4.12548,1916,11,EGY,,
5.39842,1916,12,EGY,,
8.41472,1917,1,EGY,,
8.25803,1917,2,EGY,,
2.72345,1917,3,EGY,,
2.38262,1917,4,EGY,,
3.07465,1917,5,EGY,,
1.48994,1917,6,EGY,,
2.61367,1917,7,EGY,,
2.78552,1917,8,EGY,,
1.46623,1917,9,EGY,,
1.80661,1917,10,EGY,,
3.50782,1917,11,EGY,,
7.66139,1917,12,EGY,,
4.77621,1918,1,EGY,,
6.30817,1918,2,EGY,,
5.88091,1918,3,EGY,,
3.93333,1918,4,EGY,,
4.2511,1918,5,EGY,,
1.49493,1918,6,EGY,,
2.61367,1918,7,EGY,,
2.80915,1918,8,EGY,,
1.46625,1918,9,EGY,,
2.36123,1918,10,EGY,,
5.55399,1918,11,EGY,,
4.4038,1918,12,EGY,,
9.14823,1919,1,EGY,,
1.90202,1919,2,EGY,,
1.96463,1919,3,EGY,,
2.60986,1919,4,EGY,,
2.75585,1919,5,EGY,,
1.49389,1919,6,EGY,,
2.61367,1919,7,EGY,,
2.7835,1919,8,EGY,,
1.20207,1919,9,EGY,,
1.46061,1919,10,EGY,,
3.57108,1919,11,EGY,,
4.53515,1919,12,EGY,,
4.87271,1920,1,EGY,,
8.23312,1920,2,EGY,,
9.02356,1920,3,EGY,,
5.58999,1920,4,EGY,,
2.27717,1920,5,EGY,,
1.48756,1920,6,EGY,,
2.61792,1920,7,EGY,,
