pr,"	Year", Month, Country, ISO3, ISO2
40.1124,1901,1,NLD,,
32.3039,1901,2,NLD,,
55.5341,1901,3,NLD,,
71.3255,1901,4,NLD,,
27.5116,1901,5,NLD,,
65.4333,1901,6,NLD,,
60.8772,1901,7,NLD,,
65.3069,1901,8,NLD,,
69.0062,1901,9,NLD,,
79.4572,1901,10,NLD,,
67.6089,1901,11,NLD,,
84.5244,1901,12,NLD,,
51.6336,1902,1,NLD,,
25.762,1902,2,NLD,,
44.0032,1902,3,NLD,,
44.5802,1902,4,NLD,,
78.765,1902,5,NLD,,
37.295,1902,6,NLD,,
64.61,1902,7,NLD,,
103.581,1902,8,NLD,,
47.9489,1902,9,NLD,,
48.052,1902,10,NLD,,
23.9391,1902,11,NLD,,
62.1654,1902,12,NLD,,
45.3253,1903,1,NLD,,
33.3676,1903,2,NLD,,
56.2563,1903,3,NLD,,
98.4336,1903,4,NLD,,
51.5856,1903,5,NLD,,
76.5428,1903,6,NLD,,
94.0437,1903,7,NLD,,
92.289,1903,8,NLD,,
86.706,1903,9,NLD,,
111.55,1903,10,NLD,,
74.6308,1903,11,NLD,,
26.4685,1903,12,NLD,,
51.6371,1904,1,NLD,,
63.9217,1904,2,NLD,,
43.2721,1904,3,NLD,,
33.459,1904,4,NLD,,
56.7635,1904,5,NLD,,
57.8509,1904,6,NLD,,
37.0836,1904,7,NLD,,
49.5901,1904,8,NLD,,
35.7324,1904,9,NLD,,
47.2909,1904,10,NLD,,
65.7529,1904,11,NLD,,
65.1287,1904,12,NLD,,
39.8098,1905,1,NLD,,
36.0365,1905,2,NLD,,
76.4771,1905,3,NLD,,
54.0529,1905,4,NLD,,
31.3917,1905,5,NLD,,
67.672,1905,6,NLD,,
53.9488,1905,7,NLD,,
94.0157,1905,8,NLD,,
60.2428,1905,9,NLD,,
129.664,1905,10,NLD,,
52.6308,1905,11,NLD,,
31.798,1905,12,NLD,,
106.117,1906,1,NLD,,
61.1604,1906,2,NLD,,
58.5148,1906,3,NLD,,
28.1821,1906,4,NLD,,
82.0688,1906,5,NLD,,
46.0775,1906,6,NLD,,
61.3719,1906,7,NLD,,
67.1299,1906,8,NLD,,
33.007,1906,9,NLD,,
62.046,1906,10,NLD,,
71.3863,1906,11,NLD,,
74.1642,1906,12,NLD,,
50.1437,1907,1,NLD,,
40.2654,1907,2,NLD,,
46.4767,1907,3,NLD,,
36.2854,1907,4,NLD,,
60.8915,1907,5,NLD,,
86.4504,1907,6,NLD,,
46.8014,1907,7,NLD,,
52.7761,1907,8,NLD,,
28.6777,1907,9,NLD,,
67.9137,1907,10,NLD,,
38.3208,1907,11,NLD,,
72.2771,1907,12,NLD,,
52.1509,1908,1,NLD,,
59.7022,1908,2,NLD,,
47.7503,1908,3,NLD,,
40.3777,1908,4,NLD,,
64.9748,1908,5,NLD,,
59.4939,1908,6,NLD,,
70.2306,1908,7,NLD,,
86.2254,1908,8,NLD,,
52.3234,1908,9,NLD,,
8.96019,1908,10,NLD,,
52.0303,1908,11,NLD,,
32.966,1908,12,NLD,,
33.784,1909,1,NLD,,
37.3114,1909,2,NLD,,
54.5805,1909,3,NLD,,
64.8974,1909,4,NLD,,
32.6505,1909,5,NLD,,
51.3924,1909,6,NLD,,
103.271,1909,7,NLD,,
88.8581,1909,8,NLD,,
65.1334,1909,9,NLD,,
74.2577,1909,10,NLD,,
54.9203,1909,11,NLD,,
102.366,1909,12,NLD,,
75.0896,1910,1,NLD,,
74.9973,1910,2,NLD,,
30.4327,1910,3,NLD,,
45.832,1910,4,NLD,,
52.0639,1910,5,NLD,,
71.6405,1910,6,NLD,,
116.996,1910,7,NLD,,
45.45,1910,8,NLD,,
76.1419,1910,9,NLD,,
23.2678,1910,10,NLD,,
104.933,1910,11,NLD,,
74.1943,1910,12,NLD,,
33.5859,1911,1,NLD,,
50.5889,1911,2,NLD,,
58.5044,1911,3,NLD,,
28.0761,1911,4,NLD,,
27.6624,1911,5,NLD,,
72.3018,1911,6,NLD,,
17.8032,1911,7,NLD,,
13.9626,1911,8,NLD,,
55.1136,1911,9,NLD,,
97.5349,1911,10,NLD,,
68.5408,1911,11,NLD,,
68.8016,1911,12,NLD,,
54.4985,1912,1,NLD,,
45.8307,1912,2,NLD,,
72.4445,1912,3,NLD,,
26.845,1912,4,NLD,,
43.1246,1912,5,NLD,,
88.4723,1912,6,NLD,,
46.0462,1912,7,NLD,,
140.538,1912,8,NLD,,
95.5326,1912,9,NLD,,
67.6352,1912,10,NLD,,
85.2467,1912,11,NLD,,
71.0978,1912,12,NLD,,
62.0878,1913,1,NLD,,
26.4644,1913,2,NLD,,
66.668,1913,3,NLD,,
34.815,1913,4,NLD,,
64.2208,1913,5,NLD,,
86.7304,1913,6,NLD,,
88.9389,1913,7,NLD,,
27.1136,1913,8,NLD,,
43.8714,1913,9,NLD,,
50.3829,1913,10,NLD,,
68.8482,1913,11,NLD,,
75.3507,1913,12,NLD,,
53.3186,1914,1,NLD,,
30.8072,1914,2,NLD,,
124.617,1914,3,NLD,,
38.1967,1914,4,NLD,,
46.2058,1914,5,NLD,,
79.8661,1914,6,NLD,,
89.0675,1914,7,NLD,,
41.0198,1914,8,NLD,,
95.4619,1914,9,NLD,,
42.5336,1914,10,NLD,,
66.6271,1914,11,NLD,,
96.5204,1914,12,NLD,,
109.944,1915,1,NLD,,
59.5705,1915,2,NLD,,
69.6677,1915,3,NLD,,
38.4057,1915,4,NLD,,
61.1456,1915,5,NLD,,
55.7927,1915,6,NLD,,
101.13,1915,7,NLD,,
98.3053,1915,8,NLD,,
52.9376,1915,9,NLD,,
25.0539,1915,10,NLD,,
86.4716,1915,11,NLD,,
130.553,1915,12,NLD,,
72.8822,1916,1,NLD,,
68.9999,1916,2,NLD,,
61.4044,1916,3,NLD,,
63.6248,1916,4,NLD,,
58.6952,1916,5,NLD,,
101.222,1916,6,NLD,,
38.544,1916,7,NLD,,
86.9073,1916,8,NLD,,
51.6858,1916,9,NLD,,
82.5378,1916,10,NLD,,
51.4019,1916,11,NLD,,
82.9442,1916,12,NLD,,
41.6636,1917,1,NLD,,
9.24798,1917,2,NLD,,
45.2776,1917,3,NLD,,
45.4389,1917,4,NLD,,
27.7659,1917,5,NLD,,
85.6215,1917,6,NLD,,
78.5618,1917,7,NLD,,
132.269,1917,8,NLD,,
38.9177,1917,9,NLD,,
133.738,1917,10,NLD,,
51.7876,1917,11,NLD,,
51.6828,1917,12,NLD,,
85.0482,1918,1,NLD,,
45.9391,1918,2,NLD,,
26.167,1918,3,NLD,,
42.454,1918,4,NLD,,
26.1599,1918,5,NLD,,
52.2529,1918,6,NLD,,
83.893,1918,7,NLD,,
81.5292,1918,8,NLD,,
140.534,1918,9,NLD,,
65.5828,1918,10,NLD,,
39.2128,1918,11,NLD,,
98.0561,1918,12,NLD,,
46.9241,1919,1,NLD,,
45.879,1919,2,NLD,,
66.0927,1919,3,NLD,,
57.7471,1919,4,NLD,,
27.8626,1919,5,NLD,,
51.7966,1919,6,NLD,,
99.993,1919,7,NLD,,
47.8931,1919,8,NLD,,
51.8771,1919,9,NLD,,
62.1968,1919,10,NLD,,
66.265,1919,11,NLD,,
117.416,1919,12,NLD,,
93.5881,1920,1,NLD,,
36.2391,1920,2,NLD,,
19.0617,1920,3,NLD,,
75.1422,1920,4,NLD,,
60.1609,1920,5,NLD,,
39.0205,1920,6,NLD,,
101.279,1920,7,NLD,,
91.5042,1920,8,NLD,,
41.4445,1920,9,NLD,,
16.3353,1920,10,NLD,,
15.1249,1920,11,NLD,,
54.2102,1920,12,NLD,,
89.4797,1921,1,NLD,,
12.4922,1921,2,NLD,,
30.5349,1921,3,NLD,,
28.1003,1921,4,NLD,,
20.7492,1921,5,NLD,,
41.1372,1921,6,NLD,,
10.705,1921,7,NLD,,
42.0942,1921,8,NLD,,
31.0841,1921,9,NLD,,
29.0257,1921,10,NLD,,
48.4123,1921,11,NLD,,
63.5591,1921,12,NLD,,
72.4047,1922,1,NLD,,
59.4591,1922,2,NLD,,
51.6324,1922,3,NLD,,
67.1804,1922,4,NLD,,
21.2889,1922,5,NLD,,
66.1924,1922,6,NLD,,
80.9272,1922,7,NLD,,
74.4562,1922,8,NLD,,
85.2906,1922,9,NLD,,
29.8879,1922,10,NLD,,
67.6117,1922,11,NLD,,
62.1769,1922,12,NLD,,
60.2688,1923,1,NLD,,
62.5172,1923,2,NLD,,
28.1316,1923,3,NLD,,
32.0017,1923,4,NLD,,
101.253,1923,5,NLD,,
50.5105,1923,6,NLD,,
59.3331,1923,7,NLD,,
74.4533,1923,8,NLD,,
72.0883,1923,9,NLD,,
121.586,1923,10,NLD,,
69.977,1923,11,NLD,,
75.9737,1923,12,NLD,,
37.3233,1924,1,NLD,,
37.6053,1924,2,NLD,,
37.619,1924,3,NLD,,
60.2046,1924,4,NLD,,
60.5017,1924,5,NLD,,
41.7667,1924,6,NLD,,
84.4529,1924,7,NLD,,
137.456,1924,8,NLD,,
80.9541,1924,9,NLD,,
78.7175,1924,10,NLD,,
27.4109,1924,11,NLD,,
46.225,1924,12,NLD,,
71.3997,1925,1,NLD,,
68.1774,1925,2,NLD,,
54.5531,1925,3,NLD,,
49.9174,1925,4,NLD,,
69.5086,1925,5,NLD,,
48.7553,1925,6,NLD,,
69.0829,1925,7,NLD,,
77.1114,1925,8,NLD,,
114.725,1925,9,NLD,,
