tas,"	Year", Month, Country, ISO3, ISO2
25.2712,1901,1,TGO,,
28.4281,1901,2,TGO,,
28.335,1901,3,TGO,,
28.5065,1901,4,TGO,,
27.3398,1901,5,TGO,,
26.3119,1901,6,TGO,,
25.2682,1901,7,TGO,,
25.0754,1901,8,TGO,,
25.5463,1901,9,TGO,,
26.5976,1901,10,TGO,,
27.086,1901,11,TGO,,
25.8477,1901,12,TGO,,
26.2166,1902,1,TGO,,
27.9655,1902,2,TGO,,
28.9591,1902,3,TGO,,
29.5025,1902,4,TGO,,
28.0381,1902,5,TGO,,
25.6493,1902,6,TGO,,
25.2704,1902,7,TGO,,
25.2754,1902,8,TGO,,
25.4557,1902,9,TGO,,
25.9346,1902,10,TGO,,
27.1101,1902,11,TGO,,
26.5046,1902,12,TGO,,
26.8855,1903,1,TGO,,
28.7561,1903,2,TGO,,
29.5104,1903,3,TGO,,
29.0591,1903,4,TGO,,
27.9148,1903,5,TGO,,
26.2952,1903,6,TGO,,
25.2529,1903,7,TGO,,
25.0607,1903,8,TGO,,
25.5303,1903,9,TGO,,
26.6126,1903,10,TGO,,
27.0772,1903,11,TGO,,
26.5066,1903,12,TGO,,
26.8582,1904,1,TGO,,
28.6742,1904,2,TGO,,
29.498,1904,3,TGO,,
29.048,1904,4,TGO,,
27.9234,1904,5,TGO,,
26.3261,1904,6,TGO,,
25.2682,1904,7,TGO,,
25.0592,1904,8,TGO,,
25.5604,1904,9,TGO,,
26.6183,1904,10,TGO,,
27.0935,1904,11,TGO,,
26.5248,1904,12,TGO,,
25.7791,1905,1,TGO,,
26.6522,1905,2,TGO,,
28.2971,1905,3,TGO,,
28.6376,1905,4,TGO,,
27.9447,1905,5,TGO,,
25.6829,1905,6,TGO,,
25.3477,1905,7,TGO,,
24.7094,1905,8,TGO,,
25.5953,1905,9,TGO,,
26.4365,1905,10,TGO,,
27.9788,1905,11,TGO,,
27.3148,1905,12,TGO,,
25.9464,1906,1,TGO,,
28.7702,1906,2,TGO,,
29.7253,1906,3,TGO,,
30.938,1906,4,TGO,,
28.1047,1906,5,TGO,,
26.9028,1906,6,TGO,,
25.0554,1906,7,TGO,,
24.8112,1906,8,TGO,,
26.535,1906,9,TGO,,
27.0983,1906,10,TGO,,
27.5822,1906,11,TGO,,
27.4843,1906,12,TGO,,
26.8667,1907,1,TGO,,
27.3997,1907,2,TGO,,
29.0024,1907,3,TGO,,
28.8593,1907,4,TGO,,
28.9247,1907,5,TGO,,
26.3141,1907,6,TGO,,
25.5115,1907,7,TGO,,
25.0626,1907,8,TGO,,
25.8413,1907,9,TGO,,
27.8535,1907,10,TGO,,
27.209,1907,11,TGO,,
25.5875,1907,12,TGO,,
26.5875,1908,1,TGO,,
28.1108,1908,2,TGO,,
29.1185,1908,3,TGO,,
29.5356,1908,4,TGO,,
28.9319,1908,5,TGO,,
27.0228,1908,6,TGO,,
25.77,1908,7,TGO,,
24.6562,1908,8,TGO,,
25.7298,1908,9,TGO,,
26.3997,1908,10,TGO,,
26.5415,1908,11,TGO,,
25.9791,1908,12,TGO,,
26.7791,1909,1,TGO,,
29.4516,1909,2,TGO,,
31.221,1909,3,TGO,,
29.0344,1909,4,TGO,,
27.6086,1909,5,TGO,,
25.1188,1909,6,TGO,,
24.4017,1909,7,TGO,,
23.6999,1909,8,TGO,,
25.5457,1909,9,TGO,,
25.6685,1909,10,TGO,,
27.2828,1909,11,TGO,,
26.5209,1909,12,TGO,,
26.0233,1910,1,TGO,,
29.365,1910,2,TGO,,
29.1183,1910,3,TGO,,
29.0541,1910,4,TGO,,
28.4078,1910,5,TGO,,
27.7803,1910,6,TGO,,
25.878,1910,7,TGO,,
25.3313,1910,8,TGO,,
26.1158,1910,9,TGO,,
26.4567,1910,10,TGO,,
27.0912,1910,11,TGO,,
26.5212,1910,12,TGO,,
26.4507,1911,1,TGO,,
28.5805,1911,2,TGO,,
29.6261,1911,3,TGO,,
29.1618,1911,4,TGO,,
27.8072,1911,5,TGO,,
25.4866,1911,6,TGO,,
25.2704,1911,7,TGO,,
24.7721,1911,8,TGO,,
25.4011,1911,9,TGO,,
26.3108,1911,10,TGO,,
27.4246,1911,11,TGO,,
25.9409,1911,12,TGO,,
27.2399,1912,1,TGO,,
28.5541,1912,2,TGO,,
29.2116,1912,3,TGO,,
29.937,1912,4,TGO,,
28.323,1912,5,TGO,,
26.6707,1912,6,TGO,,
25.9371,1912,7,TGO,,
25.6558,1912,8,TGO,,
26.2975,1912,9,TGO,,
26.6257,1912,10,TGO,,
26.6898,1912,11,TGO,,
26.4199,1912,12,TGO,,
27.1424,1913,1,TGO,,
28.8934,1913,2,TGO,,
27.9398,1913,3,TGO,,
28.6884,1913,4,TGO,,
28.694,1913,5,TGO,,
27.8691,1913,6,TGO,,
26.6353,1913,7,TGO,,
26.6846,1913,8,TGO,,
27.1433,1913,9,TGO,,
26.3981,1913,10,TGO,,
26.1641,1913,11,TGO,,
25.9567,1913,12,TGO,,
28.6782,1914,1,TGO,,
28.3002,1914,2,TGO,,
28.7682,1914,3,TGO,,
28.8289,1914,4,TGO,,
29.2094,1914,5,TGO,,
27.7617,1914,6,TGO,,
26.3994,1914,7,TGO,,
25.4781,1914,8,TGO,,
26.3141,1914,9,TGO,,
27.2595,1914,10,TGO,,
28.7594,1914,11,TGO,,
26.7244,1914,12,TGO,,
25.9803,1915,1,TGO,,
28.0327,1915,2,TGO,,
29.8078,1915,3,TGO,,
28.5394,1915,4,TGO,,
27.8288,1915,5,TGO,,
25.733,1915,6,TGO,,
25.3292,1915,7,TGO,,
25.0144,1915,8,TGO,,
25.2837,1915,9,TGO,,
26.114,1915,10,TGO,,
26.6837,1915,11,TGO,,
25.9902,1915,12,TGO,,
25.8873,1916,1,TGO,,
27.6288,1916,2,TGO,,
29.2873,1916,3,TGO,,
28.3969,1916,4,TGO,,
27.3651,1916,5,TGO,,
25.8287,1916,6,TGO,,
25.3581,1916,7,TGO,,
24.5217,1916,8,TGO,,
24.8223,1916,9,TGO,,
25.816,1916,10,TGO,,
26.0119,1916,11,TGO,,
26.5107,1916,12,TGO,,
26.8802,1917,1,TGO,,
28.7561,1917,2,TGO,,
28.6223,1917,3,TGO,,
28.4534,1917,4,TGO,,
27.1625,1917,5,TGO,,
25.7583,1917,6,TGO,,
25.2688,1917,7,TGO,,
25.0754,1917,8,TGO,,
24.9107,1917,9,TGO,,
25.902,1917,10,TGO,,
25.7268,1917,11,TGO,,
26.2484,1917,12,TGO,,
26.396,1918,1,TGO,,
27.282,1918,2,TGO,,
28.1627,1918,3,TGO,,
28.5394,1918,4,TGO,,
27.3398,1918,5,TGO,,
26.3119,1918,6,TGO,,
25.2682,1918,7,TGO,,
24.2941,1918,8,TGO,,
24.8223,1918,9,TGO,,
26.2504,1918,10,TGO,,
26.6021,1918,11,TGO,,
26.5104,1918,12,TGO,,
26.8799,1919,1,TGO,,
28.7571,1919,2,TGO,,
29.5213,1919,3,TGO,,
29.0586,1919,4,TGO,,
27.9178,1919,5,TGO,,
26.3119,1919,6,TGO,,
25.2679,1919,7,TGO,,
25.0754,1919,8,TGO,,
25.5457,1919,9,TGO,,
26.5973,1919,10,TGO,,
27.0857,1919,11,TGO,,
26.5114,1919,12,TGO,,
26.8802,1920,1,TGO,,
28.7571,1920,2,TGO,,
29.5213,1920,3,TGO,,
29.0596,1920,4,TGO,,
27.9188,1920,5,TGO,,
26.3119,1920,6,TGO,,
25.2682,1920,7,TGO,,
25.0754,1920,8,TGO,,
25.5457,1920,9,TGO,,
26.5973,1920,10,TGO,,
27.0854,1920,11,TGO,,
26.511,1920,12,TGO,,
26.8793,1921,1,TGO,,
28.7567,1921,2,TGO,,
29.5213,1921,3,TGO,,
29.0593,1921,4,TGO,,
27.9178,1921,5,TGO,,
26.3109,1921,6,TGO,,
25.2682,1921,7,TGO,,
25.0754,1921,8,TGO,,
25.5457,1921,9,TGO,,
26.5979,1921,10,TGO,,
27.0854,1921,11,TGO,,
26.511,1921,12,TGO,,
26.8802,1922,1,TGO,,
28.7571,1922,2,TGO,,
29.5219,1922,3,TGO,,
29.0593,1922,4,TGO,,
27.9188,1922,5,TGO,,
26.3119,1922,6,TGO,,
25.2682,1922,7,TGO,,
24.352,1922,8,TGO,,
24.6813,1922,9,TGO,,
26.0436,1922,10,TGO,,
26.6177,1922,11,TGO,,
26.1337,1922,12,TGO,,
27.0868,1923,1,TGO,,
27.8146,1923,2,TGO,,
28.639,1923,3,TGO,,
27.2657,1923,4,TGO,,
26.982,1923,5,TGO,,
26.0504,1923,6,TGO,,
24.5865,1923,7,TGO,,
24.3926,1923,8,TGO,,
25.3374,1923,9,TGO,,
26.5165,1923,10,TGO,,
26.4521,1923,11,TGO,,
26.8774,1923,12,TGO,,
25.6508,1924,1,TGO,,
28.1112,1924,2,TGO,,
29.3035,1924,3,TGO,,
28.4711,1924,4,TGO,,
27.5992,1924,5,TGO,,
26.1697,1924,6,TGO,,
24.6131,1924,7,TGO,,
24.4612,1924,8,TGO,,
24.7988,1924,9,TGO,,
25.8237,1924,10,TGO,,
26.2454,1924,11,TGO,,
26.2696,1924,12,TGO,,
24.9552,1925,1,TGO,,
27.8577,1925,2,TGO,,
28.8622,1925,3,TGO,,
28.6659,1925,4,TGO,,
26.7767,1925,5,TGO,,
25.1027,1925,6,TGO,,
24.548,1925,7,TGO,,
24.2574,1925,8,TGO,,
24.8426,1925,9,TGO,,
25.8793,1925,10,TGO,,
26.5254,1925,11,TGO,,
25.6026,1925,12,TGO,,
26.6061,1926,1,TGO,,
28.8968,1926,2,TGO,,
29.2313,1926,3,TGO,,
28.4596,1926,4,TGO,,
27.3219,1926,5,TGO,,
25.4544,1926,6,TGO,,
24.4063,1926,7,TGO,,
25.5247,1926,8,TGO,,
26.4946,1926,9,TGO,,
26.5698,1926,10,TGO,,
26.6716,1926,11,TGO,,
27.0648,1926,12,TGO,,
26.0173,1927,1,TGO,,
28.5645,1927,2,TGO,,
28.0871,1927,3,TGO,,
28.5559,1927,4,TGO,,
27.1998,1927,5,TGO,,
25.7684,1927,6,TGO,,
24.4349,1927,7,TGO,,
24.1274,1927,8,TGO,,
24.9792,1927,9,TGO,,
25.4165,1927,10,TGO,,
26.7707,1927,11,TGO,,
26.6051,1927,12,TGO,,
26.2507,1928,1,TGO,,
27.8261,1928,2,TGO,,
28.2488,1928,3,TGO,,
27.1909,1928,4,TGO,,
26.6279,1928,5,TGO,,
25.9281,1928,6,TGO,,
24.9687,1928,7,TGO,,
23.8758,1928,8,TGO,,
25.1128,1928,9,TGO,,
25.7263,1928,10,TGO,,
26.6261,1928,11,TGO,,
25.9933,1928,12,TGO,,
26.5818,1929,1,TGO,,
27.2241,1929,2,TGO,,
27.6895,1929,3,TGO,,
26.9117,1929,4,TGO,,
27.1141,1929,5,TGO,,
26.3931,1929,6,TGO,,
26.2114,1929,7,TGO,,
24.6978,1929,8,TGO,,
25.7358,1929,9,TGO,,
25.3138,1929,10,TGO,,
25.2017,1929,11,TGO,,
24.6596,1929,12,TGO,,
27.5192,1930,1,TGO,,
30.1956,1930,2,TGO,,
29.4506,1930,3,TGO,,
28.7099,1930,4,TGO,,
27.406,1930,5,TGO,,
26.0035,1930,6,TGO,,
25.6959,1930,7,TGO,,
25.2208,1930,8,TGO,,
26.1866,1930,9,TGO,,
25.17,1930,10,TGO,,
28.7322,1930,11,TGO,,
28.343,1930,12,TGO,,
27.5676,1931,1,TGO,,
28.8396,1931,2,TGO,,
28.9768,1931,3,TGO,,
29.3118,1931,4,TGO,,
28.0943,1931,5,TGO,,
26.3974,1931,6,TGO,,
26.1751,1931,7,TGO,,
25.5638,1931,8,TGO,,
25.0266,1931,9,TGO,,
26.4801,1931,10,TGO,,
27.3963,1931,11,TGO,,
27.7928,1931,12,TGO,,
27.105,1932,1,TGO,,
29.2699,1932,2,TGO,,
30.0235,1932,3,TGO,,
30.2165,1932,4,TGO,,
28.1439,1932,5,TGO,,
25.7604,1932,6,TGO,,
25.0705,1932,7,TGO,,
26.2589,1932,8,TGO,,
26.0721,1932,9,TGO,,
27.581,1932,10,TGO,,
28.87,1932,11,TGO,,
28.3938,1932,12,TGO,,
29.0852,1933,1,TGO,,
30.1313,1933,2,TGO,,
30.6892,1933,3,TGO,,
29.5929,1933,4,TGO,,
26.9275,1933,5,TGO,,
26.452,1933,6,TGO,,
25.4463,1933,7,TGO,,
24.8939,1933,8,TGO,,
26.1873,1933,9,TGO,,
26.1742,1933,10,TGO,,
28.138,1933,11,TGO,,
27.0994,1933,12,TGO,,
27.1611,1934,1,TGO,,
28.8428,1934,2,TGO,,
29.4052,1934,3,TGO,,
28.8669,1934,4,TGO,,
27.6526,1934,5,TGO,,
25.866,1934,6,TGO,,
24.8855,1934,7,TGO,,
24.8177,1934,8,TGO,,
25.2309,1934,9,TGO,,
26.4377,1934,10,TGO,,
28.5625,1934,11,TGO,,
27.5679,1934,12,TGO,,
27.3853,1935,1,TGO,,
29.4542,1935,2,TGO,,
31.2563,1935,3,TGO,,
30.1826,1935,4,TGO,,
27.3847,1935,5,TGO,,
25.318,1935,6,TGO,,
24.785,1935,7,TGO,,
24.4884,1935,8,TGO,,
24.8214,1935,9,TGO,,
25.8,1935,10,TGO,,
26.532,1935,11,TGO,,
26.2213,1935,12,TGO,,
26.0984,1936,1,TGO,,
27.8781,1936,2,TGO,,
30.5637,1936,3,TGO,,
27.9387,1936,4,TGO,,
26.5395,1936,5,TGO,,
25.5821,1936,6,TGO,,
24.5607,1936,7,TGO,,
24.3242,1936,8,TGO,,
24.8156,1936,9,TGO,,
26.0955,1936,10,TGO,,
26.591,1936,11,TGO,,
25.7451,1936,12,TGO,,
27.2654,1937,1,TGO,,
29.1055,1937,2,TGO,,
30.6755,1937,3,TGO,,
30.2735,1937,4,TGO,,
29.2178,1937,5,TGO,,
27.3106,1937,6,TGO,,
26.0097,1937,7,TGO,,
25.3721,1937,8,TGO,,
26.0077,1937,9,TGO,,
27.4905,1937,10,TGO,,
28.5726,1937,11,TGO,,
28.0349,1937,12,TGO,,
27.9298,1938,1,TGO,,
30.3106,1938,2,TGO,,
29.6562,1938,3,TGO,,
30.223,1938,4,TGO,,
29.3925,1938,5,TGO,,
27.7695,1938,6,TGO,,
25.9856,1938,7,TGO,,
25.3104,1938,8,TGO,,
26.3302,1938,9,TGO,,
27.8328,1938,10,TGO,,
28.7428,1938,11,TGO,,
27.2864,1938,12,TGO,,
28.083,1939,1,TGO,,
28.8351,1939,2,TGO,,
30.3484,1939,3,TGO,,
29.0101,1939,4,TGO,,
28.4587,1939,5,TGO,,
26.9765,1939,6,TGO,,
26.0271,1939,7,TGO,,
25.2281,1939,8,TGO,,
25.7018,1939,9,TGO,,
27.085,1939,10,TGO,,
28.0931,1939,11,TGO,,
27.6749,1939,12,TGO,,
26.8793,1940,1,TGO,,
28.7558,1940,2,TGO,,
29.5213,1940,3,TGO,,
29.0596,1940,4,TGO,,
27.9198,1940,5,TGO,,
26.3126,1940,6,TGO,,
25.2682,1940,7,TGO,,
25.0754,1940,8,TGO,,
25.546,1940,9,TGO,,
26.5973,1940,10,TGO,,
27.0854,1940,11,TGO,,
26.5104,1940,12,TGO,,
27.7923,1941,1,TGO,,
28.777,1941,2,TGO,,
30.7881,1941,3,TGO,,
29.6674,1941,4,TGO,,
29.2763,1941,5,TGO,,
26.9414,1941,6,TGO,,
25.9946,1941,7,TGO,,
25.7061,1941,8,TGO,,
26.6499,1941,9,TGO,,
28.0855,1941,10,TGO,,
28.4389,1941,11,TGO,,
27.6742,1941,12,TGO,,
26.8847,1942,1,TGO,,
29.7423,1942,2,TGO,,
30.1051,1942,3,TGO,,
29.5767,1942,4,TGO,,
28.0844,1942,5,TGO,,
27.2004,1942,6,TGO,,
25.7031,1942,7,TGO,,
24.8515,1942,8,TGO,,
26.61,1942,9,TGO,,
27.1073,1942,10,TGO,,
27.9953,1942,11,TGO,,
26.7694,1942,12,TGO,,
26.7367,1943,1,TGO,,
28.9126,1943,2,TGO,,
29.4078,1943,3,TGO,,
28.9846,1943,4,TGO,,
27.1862,1943,5,TGO,,
25.8584,1943,6,TGO,,
25.3572,1943,7,TGO,,
25.0448,1943,8,TGO,,
25.6505,1943,9,TGO,,
26.7322,1943,10,TGO,,
27.8582,1943,11,TGO,,
27.547,1943,12,TGO,,
26.4648,1944,1,TGO,,
28.3434,1944,2,TGO,,
29.6943,1944,3,TGO,,
28.6661,1944,4,TGO,,
29.1985,1944,5,TGO,,
26.4938,1944,6,TGO,,
25.8334,1944,7,TGO,,
25.1976,1944,8,TGO,,
26.2123,1944,9,TGO,,
27.336,1944,10,TGO,,
27.3616,1944,11,TGO,,
27.2936,1944,12,TGO,,
27.4339,1945,1,TGO,,
28.097,1945,2,TGO,,
29.0885,1945,3,TGO,,
29.0104,1945,4,TGO,,
28.2627,1945,5,TGO,,
26.603,1945,6,TGO,,
25.5934,1945,7,TGO,,
24.9607,1945,8,TGO,,
26.2836,1945,9,TGO,,
26.4936,1945,10,TGO,,
27.1313,1945,11,TGO,,
25.9405,1945,12,TGO,,
27.3809,1946,1,TGO,,
28.6272,1946,2,TGO,,
30.0865,1946,3,TGO,,
29.4722,1946,4,TGO,,
27.9595,1946,5,TGO,,
25.76,1946,6,TGO,,
25.1985,1946,7,TGO,,
24.6677,1946,8,TGO,,
25.324,1946,9,TGO,,
25.1595,1946,10,TGO,,
27.2871,1946,11,TGO,,
26.05,1946,12,TGO,,
26.4351,1947,1,TGO,,
30.4754,1947,2,TGO,,
29.0171,1947,3,TGO,,
29.2252,1947,4,TGO,,
28.8764,1947,5,TGO,,
26.7723,1947,6,TGO,,
25.4796,1947,7,TGO,,
