tas,"	Year", Month, Country, ISO3, ISO2
25.1499,1901,1,GUY,,
25.2966,1901,2,GUY,,
25.185,1901,3,GUY,,
25.7618,1901,4,GUY,,
25.6138,1901,5,GUY,,
25.514,1901,6,GUY,,
25.3457,1901,7,GUY,,
25.779,1901,8,GUY,,
26.3164,1901,9,GUY,,
26.6795,1901,10,GUY,,
26.3995,1901,11,GUY,,
25.394,1901,12,GUY,,
24.7852,1902,1,GUY,,
25.1838,1902,2,GUY,,
25.4164,1902,3,GUY,,
25.7618,1902,4,GUY,,
25.8095,1902,5,GUY,,
25.3785,1902,6,GUY,,
25.1067,1902,7,GUY,,
25.6662,1902,8,GUY,,
26.3369,1902,9,GUY,,
26.6795,1902,10,GUY,,
26.2439,1902,11,GUY,,
25.6856,1902,12,GUY,,
25.2534,1903,1,GUY,,
25.3171,1903,2,GUY,,
25.667,1903,3,GUY,,
25.6887,1903,4,GUY,,
25.6138,1903,5,GUY,,
25.2452,1903,6,GUY,,
25.2422,1903,7,GUY,,
25.935,1903,8,GUY,,
26.3369,1903,9,GUY,,
26.7093,1903,10,GUY,,
26.5128,1903,11,GUY,,
25.5821,1903,12,GUY,,
24.8211,1904,1,GUY,,
24.9114,1904,2,GUY,,
25.0302,1904,3,GUY,,
25.4185,1904,4,GUY,,
25.265,1904,5,GUY,,
25.0869,1904,6,GUY,,
24.9521,1904,7,GUY,,
25.7789,1904,8,GUY,,
26.2036,1904,9,GUY,,
26.4837,1904,10,GUY,,
26.1699,1904,11,GUY,,
25.509,1904,12,GUY,,
24.9765,1905,1,GUY,,
24.986,1905,2,GUY,,
25.626,1905,3,GUY,,
25.4596,1905,4,GUY,,
25.5705,1905,5,GUY,,
25.2019,1905,6,GUY,,
24.8365,1905,7,GUY,,
25.3938,1905,8,GUY,,
26.1225,1905,9,GUY,,
26.1702,1905,10,GUY,,
26.0507,1905,11,GUY,,
25.0049,1905,12,GUY,,
24.7088,1906,1,GUY,,
24.986,1906,2,GUY,,
25.1051,1906,3,GUY,,
25.1846,1906,4,GUY,,
25.3414,1906,5,GUY,,
24.9317,1906,6,GUY,,
24.8365,1906,7,GUY,,
25.1997,1906,8,GUY,,
25.8109,1906,9,GUY,,
26.055,1906,10,GUY,,
25.9738,1906,11,GUY,,
25.3545,1906,12,GUY,,
24.7441,1907,1,GUY,,
24.7551,1907,2,GUY,,
24.9539,1907,3,GUY,,
25.8423,1907,4,GUY,,
25.3414,1907,5,GUY,,
24.8964,1907,6,GUY,,
24.8365,1907,7,GUY,,
25.4684,1907,8,GUY,,
25.8548,1907,9,GUY,,
26.2472,1907,10,GUY,,
26.1699,1907,11,GUY,,
25.2035,1907,12,GUY,,
24.7852,1908,1,GUY,,
24.986,1908,2,GUY,,
25.2203,1908,3,GUY,,
25.3393,1908,4,GUY,,
25.3003,1908,5,GUY,,
25.0474,1908,6,GUY,,
24.8776,1908,7,GUY,,
25.3938,1908,8,GUY,,
26.0863,1908,9,GUY,,
26.1702,1908,10,GUY,,
25.8946,1908,11,GUY,,
25.2388,1908,12,GUY,,
24.9765,1909,1,GUY,,
24.9114,1909,2,GUY,,
25.2972,1909,3,GUY,,
25.3832,1909,4,GUY,,
25.3414,1909,5,GUY,,
