tas,"	Year", Month, Country, ISO3, ISO2
25.4683,1901,1,BRA,,
25.8043,1901,2,BRA,,
25.4693,1901,3,BRA,,
24.6973,1901,4,BRA,,
24.4676,1901,5,BRA,,
23.7347,1901,6,BRA,,
24.3439,1901,7,BRA,,
24.7378,1901,8,BRA,,
25.5075,1901,9,BRA,,
25.9618,1901,10,BRA,,
25.3973,1901,11,BRA,,
25.2347,1901,12,BRA,,
25.4001,1902,1,BRA,,
25.8936,1902,2,BRA,,
25.4911,1902,3,BRA,,
25.3788,1902,4,BRA,,
25.1326,1902,5,BRA,,
24.7454,1902,6,BRA,,
24.3797,1902,7,BRA,,
23.6272,1902,8,BRA,,
25.5495,1902,9,BRA,,
25.3896,1902,10,BRA,,
26.1347,1902,11,BRA,,
26.1153,1902,12,BRA,,
25.3852,1903,1,BRA,,
25.8848,1903,2,BRA,,
25.8242,1903,3,BRA,,
24.9878,1903,4,BRA,,
24.0358,1903,5,BRA,,
24.2085,1903,6,BRA,,
23.9851,1903,7,BRA,,
24.0806,1903,8,BRA,,
25.2095,1903,9,BRA,,
25.161,1903,10,BRA,,
25.1546,1903,11,BRA,,
25.6395,1903,12,BRA,,
24.887,1904,1,BRA,,
25.208,1904,2,BRA,,
25.086,1904,3,BRA,,
24.8793,1904,4,BRA,,
23.4627,1904,5,BRA,,
23.0324,1904,6,BRA,,
23.6819,1904,7,BRA,,
23.7694,1904,8,BRA,,
25.011,1904,9,BRA,,
25.0449,1904,10,BRA,,
25.3574,1904,11,BRA,,
25.1986,1904,12,BRA,,
25.1,1905,1,BRA,,
25.4632,1905,2,BRA,,
24.887,1905,3,BRA,,
24.5941,1905,4,BRA,,
24.7704,1905,5,BRA,,
24.0993,1905,6,BRA,,
23.6716,1905,7,BRA,,
24.3039,1905,8,BRA,,
25.1741,1905,9,BRA,,
26.4415,1905,10,BRA,,
25.6957,1905,11,BRA,,
25.6896,1905,12,BRA,,
25.1633,1906,1,BRA,,
25.3581,1906,2,BRA,,
25.2973,1906,3,BRA,,
24.8865,1906,4,BRA,,
24.7517,1906,5,BRA,,
22.9659,1906,6,BRA,,
23.7724,1906,7,BRA,,
24.6312,1906,8,BRA,,
24.8339,1906,9,BRA,,
25.6682,1906,10,BRA,,
25.7969,1906,11,BRA,,
25.6059,1906,12,BRA,,
25.1219,1907,1,BRA,,
25.3158,1907,2,BRA,,
25.6161,1907,3,BRA,,
24.897,1907,4,BRA,,
23.7292,1907,5,BRA,,
23.5626,1907,6,BRA,,
22.8457,1907,7,BRA,,
23.7251,1907,8,BRA,,
25.3533,1907,9,BRA,,
25.4477,1907,10,BRA,,
25.6268,1907,11,BRA,,
25.9032,1907,12,BRA,,
25.604,1908,1,BRA,,
25.8489,1908,2,BRA,,
25.4615,1908,3,BRA,,
25.1069,1908,4,BRA,,
24.4218,1908,5,BRA,,
23.8241,1908,6,BRA,,
24.1359,1908,7,BRA,,
23.3813,1908,8,BRA,,
25.4029,1908,9,BRA,,
24.8929,1908,10,BRA,,
25.3033,1908,11,BRA,,
25.9486,1908,12,BRA,,
25.8689,1909,1,BRA,,
25.8887,1909,2,BRA,,
25.4461,1909,3,BRA,,
25.1319,1909,4,BRA,,
23.4227,1909,5,BRA,,
23.4229,1909,6,BRA,,
23.6302,1909,7,BRA,,
24.3216,1909,8,BRA,,
25.2606,1909,9,BRA,,
25.2685,1909,10,BRA,,
25.6112,1909,11,BRA,,
25.2662,1909,12,BRA,,
25.6292,1910,1,BRA,,
25.6696,1910,2,BRA,,
25.2147,1910,3,BRA,,
25.1374,1910,4,BRA,,
23.4242,1910,5,BRA,,
23.8156,1910,6,BRA,,
23.5479,1910,7,BRA,,
24.4579,1910,8,BRA,,
25.2422,1910,9,BRA,,
25.2018,1910,10,BRA,,
25.3266,1910,11,BRA,,
25.353,1910,12,BRA,,
25.2535,1911,1,BRA,,
25.6683,1911,2,BRA,,
24.7454,1911,3,BRA,,
24.6861,1911,4,BRA,,
24.1423,1911,5,BRA,,
22.8821,1911,6,BRA,,
22.8789,1911,7,BRA,,
23.8448,1911,8,BRA,,
24.8412,1911,9,BRA,,
25.2973,1911,10,BRA,,
26.0171,1911,11,BRA,,
25.8803,1911,12,BRA,,
26.0146,1912,1,BRA,,
26.1464,1912,2,BRA,,
25.646,1912,3,BRA,,
25.2869,1912,4,BRA,,
24.4611,1912,5,BRA,,
23.4203,1912,6,BRA,,
22.1918,1912,7,BRA,,
24.0629,1912,8,BRA,,
24.0883,1912,9,BRA,,
25.018,1912,10,BRA,,
25.7296,1912,11,BRA,,
25.191,1912,12,BRA,,
25.1092,1913,1,BRA,,
25.466,1913,2,BRA,,
25.2451,1913,3,BRA,,
25.0587,1913,4,BRA,,
23.7411,1913,5,BRA,,
23.0276,1913,6,BRA,,
23.4907,1913,7,BRA,,
23.6704,1913,8,BRA,,
24.7022,1913,9,BRA,,
25.3412,1913,10,BRA,,
25.7098,1913,11,BRA,,
25.2489,1913,12,BRA,,
25.7606,1914,1,BRA,,
25.4082,1914,2,BRA,,
25.7264,1914,3,BRA,,
24.842,1914,4,BRA,,
23.6181,1914,5,BRA,,
24.0308,1914,6,BRA,,
24.0822,1914,7,BRA,,
23.6534,1914,8,BRA,,
25.168,1914,9,BRA,,
25.4343,1914,10,BRA,,
25.8132,1914,11,BRA,,
25.5386,1914,12,BRA,,
25.8479,1915,1,BRA,,
25.8528,1915,2,BRA,,
25.5717,1915,3,BRA,,
25.6822,1915,4,BRA,,
25.4469,1915,5,BRA,,
23.0355,1915,6,BRA,,
23.6478,1915,7,BRA,,
24.412,1915,8,BRA,,
24.6752,1915,9,BRA,,
25.4978,1915,10,BRA,,
25.244,1915,11,BRA,,
25.3969,1915,12,BRA,,
25.438,1916,1,BRA,,
25.4356,1916,2,BRA,,
25.0349,1916,3,BRA,,
24.8506,1916,4,BRA,,
23.8947,1916,5,BRA,,
22.45,1916,6,BRA,,
22.846,1916,7,BRA,,
24.0771,1916,8,BRA,,
25.4,1916,9,BRA,,
24.9383,1916,10,BRA,,
25.1803,1916,11,BRA,,
24.9775,1916,12,BRA,,
24.9582,1917,1,BRA,,
24.7857,1917,2,BRA,,
24.7996,1917,3,BRA,,
24.2196,1917,4,BRA,,
22.5991,1917,5,BRA,,
22.173,1917,6,BRA,,
22.2052,1917,7,BRA,,
23.1794,1917,8,BRA,,
24.3451,1917,9,BRA,,
24.9131,1917,10,BRA,,
24.9773,1917,11,BRA,,
25.0288,1917,12,BRA,,
25.0098,1918,1,BRA,,
24.7581,1918,2,BRA,,
25.1252,1918,3,BRA,,
24.6519,1918,4,BRA,,
24.0151,1918,5,BRA,,
23.1497,1918,6,BRA,,
22.8628,1918,7,BRA,,
23.5914,1918,8,BRA,,
24.9032,1918,9,BRA,,
25.506,1918,10,BRA,,
25.6679,1918,11,BRA,,
25.4074,1918,12,BRA,,
25.5995,1919,1,BRA,,
25.9324,1919,2,BRA,,
25.8946,1919,3,BRA,,
25.1206,1919,4,BRA,,
25.1432,1919,5,BRA,,
24.0837,1919,6,BRA,,
23.7704,1919,7,BRA,,
23.3288,1919,8,BRA,,
24.6569,1919,9,BRA,,
25.5098,1919,10,BRA,,
25.559,1919,11,BRA,,
25.3321,1919,12,BRA,,
25.5097,1920,1,BRA,,
25.5899,1920,2,BRA,,
25.3417,1920,3,BRA,,
25.0701,1920,4,BRA,,
23.7853,1920,5,BRA,,
22.6878,1920,6,BRA,,
22.5259,1920,7,BRA,,
23.186,1920,8,BRA,,
24.8133,1920,9,BRA,,
25.7827,1920,10,BRA,,
25.5403,1920,11,BRA,,
25.1182,1920,12,BRA,,
25.1892,1921,1,BRA,,
25.3075,1921,2,BRA,,
25.1756,1921,3,BRA,,
24.45,1921,4,BRA,,
24.1902,1921,5,BRA,,
21.9588,1921,6,BRA,,
21.7257,1921,7,BRA,,
24.0787,1921,8,BRA,,
24.5038,1921,9,BRA,,
25.1274,1921,10,BRA,,
24.7903,1921,11,BRA,,
25.586,1921,12,BRA,,
25.3199,1922,1,BRA,,
25.2787,1922,2,BRA,,
25.1012,1922,3,BRA,,
24.65,1922,4,BRA,,
23.5871,1922,5,BRA,,
22.6759,1922,6,BRA,,
22.6542,1922,7,BRA,,
23.7923,1922,8,BRA,,
24.7149,1922,9,BRA,,
24.5112,1922,10,BRA,,
25.0317,1922,11,BRA,,
24.8842,1922,12,BRA,,
25.0143,1923,1,BRA,,
25.0925,1923,2,BRA,,
25.0323,1923,3,BRA,,
24.6046,1923,4,BRA,,
23.078,1923,5,BRA,,
23.0226,1923,6,BRA,,
22.0846,1923,7,BRA,,
23.8291,1923,8,BRA,,
24.9233,1923,9,BRA,,
25.2503,1923,10,BRA,,
25.3373,1923,11,BRA,,
