"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"AGO",2002,188344.671875,17572649,1246700,1.053017426,22.0158333333333,87.3165766666667,0.0046419104262228,0.0709454789656357,0.01071805803866
"AGO",2003,192070.5625,18203369,1246700,1.0390122681,22.1557416666667,82.9781741666667,0.00164145231540551,0.0684873223192916,0.0105513744461259
"AGO",2004,201747.484375,18865716,1246700,1.0357992436,21.959525,88.2683416666667,0.00480271306788627,0.0660828351280174,0.0106938684105602
"AGO",2005,217491.296875,19552542,1246700,1.0659096213,22.44395,80.5557291666667,0.000584018153785793,0.0637615303421928,0.011123428190309
"AGO",2006,255379.796875,20262399,1246700,0.9462515933,21.6310333333333,92.6384091666667,0.0184341137992624,0.0615277588798839,0.0126036308373456
"AGO",2007,297778.78125,20997687,1246700,1.0806006789,21.6221083333333,83.8602258333333,0.000834649667903709,0.0593732062012354,0.01418150395565
"AGO",2008,354643.5625,21759420,1246700,1.213647079,21.6298916666667,87.5286266666667,0.00810324309327609,0.0572947256866222,0.0162983922595363
"AGO",2009,422951.03125,22549547,1246700,1.2244614234,22.0453,86.8658183333333,0.00195902142513416,0.0552871416884783,0.0187565200866341
"AGO",2010,509115.875,23369131,1246700,1.0412362996,22.1178583333333,79.2427325,0.000382031354386824,0.0533481540242125,0.0217858282791945
"AGO",2011,641505.9375,24218565,1246700,0.9998250785,21.54165,83.14135,0.00753083343675006,0.0514770383794416,0.0264881894323631
"AGO",2012,683897.6875,25096150,1246700,0.918000986,21.51605,83.7099708333333,0.000395638609594093,0.0496769424792249,0.0272510997702835
"AGO",2013,734677.375,25998340,1246700,0.8681193078,21.8475166666667,79.0114575,0.00306751856372214,0.0479530616185495,0.0282586263199881
"AGO",2014,796054.125,26920466,1246700,0.7933292751,21.6696583333333,82.8063125,0.00222619470459149,0.0463104910591072,0.0295705923144124
"ALB",2002,37005.26171875,3119029,28748,0.6852516159,12.4493066666667,81.7906666666667,0.00309396840838151,0.00921697105092643,0.0118643532069596
"ALB",2003,40502.71875,3111005,28748,0.6702058908,12.2213625,77.5910833333333,0.00179732496946673,0.00924074374679565,0.0130191750736498
"ALB",2004,44636.8984375,3097747,28748,0.6704710596,11.860445,87.8045083333333,0.000984804371284047,0.0092802930646047,0.0144094719283079
"ALB",2005,49495.1484375,3079179,28748,0.7087232315,11.3407591666667,77.5255666666667,0.00159317131981671,0.00933625489132006,0.0160741380859963
"ALB",2006,63361.08203125,3054331,28748,0.7426710285,11.5028033333333,80.0901666666667,0.00548082853256382,0.00941220843451479,0.020744667827832
"ALB",2007,71803.96875,3023907,28748,0.8320204075,12.3568391666667,83.6674983333333,0.000201504831616042,0.00950690613170312,0.0237454289268817
"ALB",2008,82640.5078125,2991651,28748,0.7745170615,12.5040525,81.1561583333333,0.0212768992935274,0.00960940965373301,0.0276237127300277
"ALB",2009,96002.0703125,2962635,28748,0.7509493538,12.4035141666667,103.104533333333,0.026560728662006,0.00970352405881926,0.0324042854798178
"ALB",2010,94202.3359375,2940525,28748,0.765434459,12.4671216666667,106.7238175,0.0187036394934426,0.00977648549153638,0.0320358901684223
"ALB",2011,104642.9609375,2926659,28748,0.8121855356,12.2030666666667,55.76009,0.00420647527419169,0.00982280477500112,0.0357550917061058
"ALB",2012,89331.359375,2920039,28748,0.7651017286,12.73313,82.12852,0.000493439629746368,0.00984507398702552,0.0305925226940462
