Members,Date,Month,Year,ISO
Afghanistan,29,July,2016,AFG
Angola,23,November,1996,AGO
Albania,8,September,2000,ALB
United Arab Emirates,10,April,1996,ARE
Argentina,1,January,1995,ARG
Armenia,5,February,2003,ARM
Antigua and Barbuda,1,January,1995,ATG
Australia,1,January,1995,AUS
Austria,1,January,1995,AUT
Burundi,23,July,1995,BDI
Belgium,1,January,1995,BEL
Benin,22,February,1996,BEN
Burkina Faso,3,June,1995,BFA
Bangladesh,1,January,1995,BGD
Bulgaria,1,December,1996,BGR
"Bahrain, Kingdom of",1,January,1995,BHR
Belize,1,January,1995,BLZ
"Bolivia, Plurinational State of",12,September,1995,BOL
Brazil,1,January,1995,BRA
Barbados,1,January,1995,BRB
Brunei Darussalam,1,January,1995,BRN
Botswana,31,May,1995,BWA
Central African Republic,31,May,1995,CAF
Canada,1,January,1995,CAN
Switzerland,1,July,1995,CHE
Chile,1,January,1995,CHL
China,11,December,2001,CHN
Cªte dÍIvoire,1,January,1995,CIV
Cameroon,13,December,1995,CMR
Democratic Republic of the Congo,1,January,1997,COD
Congo,27,March,1997,COG
Colombia,30,April,1995,COL
Cabo Verde,23,July,2008,CPV
Costa Rica,1,January,1995,CRI
Cuba,20,April,1995,CUB
Cyprus,30,July,1995,CYP
Czech Republic,1,January,1995,CZE
Germany,1,January,1995,DEU
Djibouti,31,May,1995,DJI
Dominica,1,January,1995,DMA
Denmark,1,January,1995,DNK
Dominican Republic,9,March,1995,DOM
Ecuador,21,January,1996,ECU
Egypt,30,June,1995,EGY
Spain,1,January,1995,ESP
Estonia,13,November,1999,EST
Finland,1,January,1995,FIN
Fiji,14,January,1996,FJI
France,1,January,1995,FRA
Gabon,1,January,1995,GAB
United Kingdom,1,January,1995,GBR
Georgia,14,June,2000,GEO
Ghana,1,January,1995,GHA
Guinea,25,October,1995,GIN
Gambia,23,October,1996,GMB
Guinea-Bissau,31,May,1995,GNB
Greece,1,January,1995,GRC
Grenada,22,February,1996,GRD
Guatemala,21,July,1995,GTM
Guyana,1,January,1995,GUY
"Hong Kong, China",1,January,1995,HKG
Honduras,1,January,1995,HND
Croatia,30,November,2000,HRV
Haiti,30,January,1996,HTI
Hungary,1,January,1995,HUN
Indonesia,1,January,1995,IDN
India,1,January,1995,IND
Ireland,1,January,1995,IRL
Iceland,1,January,1995,ISL
Israel,21,April,1995,ISR
Italy,1,January,1995,ITA
Jamaica,9,March,1995,JAM
Jordan,11,April,2000,JOR
Japan,1,January,1995,JPN
Kazakhstan,30,November,2015,KAZ
Kenya,1,January,1995,KEN
Cambodia,13,October,2004,KHM
Saint Kitts and Nevis,21,February,1996,KNA
"Korea, Republic of",1,January,1995,KOR
Liberia,14,July,2016,LBR
Saint Lucia,1,January,1995,LCA
Liechtenstein,1,September,1995,LIE
Sri Lanka,1,January,1995,LKA
Lesotho,31,May,1995,LSO
Lithuania,31,May,2001,LTU
Luxembourg,1,January,1995,LUX
Latvia,10,February,1999,LVA
"Macao, China",1,January,1995,MAC
Morocco,1,January,1995,MAR
"Moldova, Republic of",26,July,2001,MDA
Madagascar,17,November,1995,MDG
Maldives,31,May,1995,MDV
Mexico,1,January,1995,MEX
the former Yugoslav Republic of Macedonia,4,April,2003,MKD
Mali,31,May,1995,MLI
Malta,1,January,1995,MLT
Myanmar,1,January,1995,MMR
Montenegro,29,April,2012,MNE
Mongolia,29,January,1997,MNG
Mozambique,26,August,1995,MOZ
Mauritania,31,May,1995,MRT
Mauritius,1,January,1995,MUS
Malawi,31,May,1995,MWI
Malaysia,1,January,1995,MYS
Namibia,1,January,1995,NAM
Niger,13,December,1996,NER
Nigeria,1,January,1995,NGA
Nicaragua,3,September,1995,NIC
Netherlands,1,January,1995,NLD
Norway,1,January,1995,NOR
Nepal,23,April,2004,NPL
New Zealand,1,January,1995,NZL
Oman,9,November,2000,OMN
Pakistan,1,January,1995,PAK
Panama,6,September,1997,PAN
Peru,1,January,1995,PER
Philippines,1,January,1995,PHL
Papua New Guinea,9,June,1996,PNG
Poland,1,July,1995,POL
Portugal,1,January,1995,PRT
Paraguay,1,January,1995,PRY
Qatar,13,January,1996,QAT
Romania,1,January,1995,ROU
Russian Federation,22,August,2012,RUS
Rwanda,22,May,1996,RWA
Senegal,1,January,1995,SEN
Singapore,1,January,1995,SGP
Solomon Islands,26,July,1996,SLB
Sierra Leone,23,July,1995,SLE
El Salvador,7,May,1995,SLV
Suriname,1,January,1995,SUR
Slovenia,30,July,1995,SVN
Sweden,1,January,1995,SWE
Swaziland,1,January,1995,SWZ
Seychelles,26,April,2015,SYC
Chad,19,October,1996,TCD
Togo,31,May,1995,TGO
Thailand,1,January,1995,THA
Tajikistan,2,March,2013,TJK
Tonga,27,July,2007,TON
Trinidad and Tobago,1,March,1995,TTO
Tunisia,29,March,1995,TUN
Turkey,26,March,1995,TUR
Tanzania,1,January,1995,TZA
Uganda,1,January,1995,UGA
Ukraine,16,May,2008,UKR
Uruguay,1,January,1995,URY
United States,1,January,1995,USA
Saint Vincent and the Grenadines,1,January,1995,VCT
"Venezuela, Bolivarian Republic of",1,January,1995,VEN
Viet Nam,11,January,2007,VNM
Vanuatu,24,August,2012,VUT
Samoa,10,May,2012,WSM
Yemen,26,June,2014,YEM
South Africa,1,January,1995,ZAF
Zambia,1,January,1995,ZMB
Zimbabwe,5,March,1995,ZWE
"Kuwait, the State of",1,January,1995,KWT
Kyrgyz Republic,20,December,1998,KGZ
Lao PeopleÍs Democratic Republic,2,February,2013,LAO
"Saudi Arabia, Kingdom of",11,December,2005,SAU
Slovak Republic,1,January,1995,SVK
